<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
010_T31_C5_D71_VM3.txt	 1	 0.423840541471542	 0.035232	 0.000446	 70.232860
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
1292	 1	 0.000000615	 0.118932040	 0.000682711  VM
1354	 1	 0.000000781	 0.151142099	 0.000867608  VM
1560	 3	 0.000002701	 0.300160000	 0.002009952  FX
1570	 1	 0.000001222	 0.236450984	 0.001357310  VM
731	 1	 0.000001231	 0.238258712	 0.001367687  VM
751	 1	 0.000000873	 0.168922605	 0.000969674  VM
1381	 1	 0.000000717	 0.138765401	 0.000796561  VM
1417	 2	 0.000001497	 0.311160000	 0.001758415  FX
1618	 2	 0.000003929	 0.190129569	 0.001826438  VM
1411	 3	 0.000002949	 0.329900000	 0.002204156  FX
1369	 2	 0.000002649	 0.128162334	 0.001231163  VM
1359	 2	 0.000001191	 0.237860000	 0.001355936  FX
1582	 1	 0.000000923	 0.346990000	 0.001774850  FX
864	 1	 0.000000721	 0.139465123	 0.000800578  VM
1291	 1	 0.000000871	 0.168543293	 0.000967496  VM
1612	 3	 0.000002348	 0.257740000	 0.001732946  FX
1493	 3	 0.000002644	 0.293290000	 0.001965090  FX
814	 1	 0.000000939	 0.181744141	 0.001043274  VM
1492	 2	 0.000001517	 0.316100000	 0.001785540  FX
1555	 1	 0.000001216	 0.235310731	 0.001350764  VM
11894	 3	 0.000049940	 5.968805325	 0.039026657  FX
11893	 3	 0.000050774	 6.068865325	 0.039680056  FX
11890	 3	 0.000050387	 6.022405325	 0.039376669  FX
11895	 1	 0.000019659	 9.340135325	 0.046481853  FX
11887	 3	 0.000052825	 6.314955325	 0.041287044  FX
11889	 3	 0.000050186	 5.998305325	 0.039219294  FX
11891	 1	 0.000026095	 5.050226438	 0.028990034  VM
11892	 2	 0.000030214	 7.203325325	 0.039602242  FX
11896	 2	 0.000028645	 6.826675325	 0.037534114  FX
11888	 3	 0.000051361	 6.139255325	 0.040139709  FX
11897	 1	 0.000004190	 0.810878551	 0.004654721  VM
========================================================================
