<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
005_T16_C5_D38_VM3.txt	 1	 0.166028639349951	 0.007340	 0.000085	 24.436658
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
1317	 1	 0.000000687	 0.132953058	 0.001257174  VM
813	 1	 0.000000906	 0.175378817	 0.001658343  VM
863	 2	 0.000002052	 0.444480000	 0.003820433  FX
1521	 1	 0.000001405	 0.578260000	 0.002992630  FX
1518	 1	 0.000001429	 0.589820000	 0.003046205  FX
1573	 1	 0.000001159	 0.224275256	 0.002120696  VM
752	 1	 0.000000803	 0.155315056	 0.001468624  VM
732	 2	 0.000001802	 0.384460000	 0.003346769  FX
1320	 1	 0.000001678	 0.709380000	 0.003600302  FX
1372	 1	 0.000001667	 0.322703985	 0.003051416  VM
6748	 1	 0.000014423	 2.791339678	 0.026394278  VM
6745	 1	 0.000014843	 2.872680757	 0.027163421  VM
6746	 2	 0.000017119	 4.060455099	 0.032356869  FX
6749	 1	 0.000010888	 5.130425099	 0.024089516  FX
6747	 1	 0.000011481	 5.414785099	 0.025407375  FX
6750	 1	 0.000002325	 0.449945929	 0.004254587  VM
========================================================================
