<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
035_T106_C5_D240_VM3.txt	 1	 0.004285497588403	 207.470471	 0.002546	 716.533229
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
1317	 5	 0.000000077	 0.003625962	 0.000003560  VM
1578	 1	 0.000001106	 0.434880000	 0.000000000  FX
868	 2	 0.000001753	 0.372680000	 0.000000000  FX
1314	 2	 0.000002340	 0.513590000	 0.000000000  FX
1375	 2	 0.000001921	 0.413130000	 0.000000000  FX
1518	 5	 0.000000160	 0.007516920	 0.000007381  VM
1381	 1	 0.000001278	 0.517460000	 0.000000000  FX
1398	 1	 0.000001252	 0.504730000	 0.000000000  FX
758	 5	 0.000000072	 0.003388561	 0.000003327  VM
1354	 5	 0.000000078	 0.003653618	 0.000003587  VM
1617	 5	 0.000000136	 0.006401733	 0.000006286  VM
1348	 1	 0.000001371	 0.562280000	 0.000000000  FX
1377	 5	 0.000000071	 0.003339588	 0.000003279  VM
1430	 2	 0.000002146	 0.467050000	 0.000000000  FX
734	 5	 0.000000070	 0.003317341	 0.000003257  VM
1631	 1	 0.000001044	 0.405260000	 0.000000000  FX
818	 5	 0.000000067	 0.003168400	 0.000003111  VM
1576	 1	 0.000001121	 0.442080000	 0.000000000  FX
24	 2	 0.000002382	 0.523640000	 0.000000000  FX
1623	 1	 0.000001153	 0.457480000	 0.000000000  FX
754	 5	 0.000000075	 0.003538667	 0.000003475  VM
739	 1	 0.000001651	 0.696420000	 0.000000000  FX
1294	 5	 0.000000073	 0.003448645	 0.000003386  VM
1499	 1	 0.000001203	 0.481430000	 0.000000000  FX
858	 1	 0.000001391	 0.571650000	 0.000000000  FX
1358	 2	 0.000001570	 0.328890000	 0.000000000  FX
1549	 5	 0.000000169	 0.007938578	 0.000007795  VM
1602	 2	 0.000001378	 0.282760000	 0.000000000  FX
34	 5	 0.000000075	 0.003535398	 0.000003471  VM
1424	 2	 0.000001416	 0.291780000	 0.000000000  FX
1605	 1	 0.000001100	 0.432220000	 0.000000000  FX
1307	 5	 0.000000078	 0.003689364	 0.000003622  VM
1368	 2	 0.000002879	 0.642880000	 0.000000000  FX
1404	 5	 0.000000309	 0.014563462	 0.000014299  VM
1298	 5	 0.000000075	 0.003513152	 0.000003449  VM
1599	 1	 0.000001120	 0.441720000	 0.000000000  FX
1401	 1	 0.000001805	 0.770270000	 0.000000000  FX
759	 2	 0.000001742	 0.370130000	 0.000000000  FX
738	 1	 0.000002202	 0.960870000	 0.000000000  FX
1292	 2	 0.000001403	 0.288620000	 0.000000000  FX
1405	 2	 0.000001889	 0.405420000	 0.000000000  FX
808	 2	 0.000002686	 0.596700000	 0.000000000  FX
1515	 1	 0.000001233	 0.495850000	 0.000000000  FX
1416	 5	 0.000000196	 0.009241965	 0.000009074  VM
853	 1	 0.000001332	 0.543180000	 0.000000000  FX
1625	 1	 0.000000950	 0.359940000	 0.000000000  FX
1634	 5	 0.000000176	 0.008264796	 0.000008115  VM
1606	 2	 0.000001407	 0.289620000	 0.000000000  FX
1433	 5	 0.000000180	 0.008481089	 0.000008327  VM
803	 1	 0.000001489	 0.618870000	 0.000000000  FX
1495	 1	 0.000001239	 0.498750000	 0.000000000  FX
875	 5	 0.000000074	 0.003474638	 0.000003412  VM
1508	 1	 0.000001218	 0.488820000	 0.000000000  FX
1304	 2	 0.000001859	 0.398190000	 0.000000000  FX
1429	 5	 0.000000205	 0.009635797	 0.000009461  VM
1569	 5	 0.000000177	 0.008327712	 0.000008177  VM
825	 2	 0.000001452	 0.300440000	 0.000000000  FX
1382	 2	 0.000003063	 0.687110000	 0.000000000  FX
1339	 5	 0.000000068	 0.003192160	 0.000003134  VM
1583	 1	 0.000001113	 0.438060000	 0.000000000  FX
1538	 2	 0.000001892	 0.406030000	 0.000000000  FX
1505	 2	 0.000001602	 0.336420000	 0.000000000  FX
1555	 5	 0.000000180	 0.008450532	 0.000008297  VM
1559	 1	 0.000001234	 0.496330000	 0.000000000  FX
1540	 2	 0.000001682	 0.355790000	 0.000000000  FX
1630	 1	 0.000001073	 0.418910000	 0.000000000  FX
1337	 5	 0.000000075	 0.003521657	 0.000003458  VM
1582	 1	 0.000001048	 0.406800000	 0.000000000  FX
1493	 1	 0.000001166	 0.463600000	 0.000000000  FX
1422	 1	 0.000002560	 1.132630000	 0.000000000  FX
8427	 2	 0.000100677	 24.114339978	 0.000000000  FX
8416	 2	 0.000102949	 24.659689978	 0.000000000  FX
8431	 2	 0.000096333	 23.071819978	 0.000000000  FX
8439	 1	 0.000060680	 29.030169978	 0.000000000  FX
8433	 1	 0.000061084	 29.224129978	 0.000000000  FX
8424	 5	 0.000011016	 0.518399588	 0.000509001  VM
8423	 2	 0.000099547	 23.843179978	 0.000000000  FX
8411	 5	 0.000011019	 0.518543605	 0.000509142  VM
8440	 1	 0.000062130	 29.726479978	 0.000000000  FX
8418	 2	 0.000099989	 23.949289978	 0.000000000  FX
8414	 2	 0.000102085	 24.452319978	 0.000000000  FX
8437	 2	 0.000096916	 23.211819978	 0.000000000  FX
8419	 2	 0.000100543	 24.082379978	 0.000000000  FX
8441	 2	 0.000092994	 22.270409978	 0.000000000  FX
8434	 1	 0.000061056	 29.210839978	 0.000000000  FX
8428	 5	 0.000011010	 0.518111466	 0.000508718  VM
8412	 5	 0.000011014	 0.518315156	 0.000508918  VM
8443	 2	 0.000095497	 22.871119978	 0.000000000  FX
8436	 1	 0.000060831	 29.102929978	 0.000000000  FX
8438	 5	 0.000011020	 0.518592534	 0.000509190  VM
8429	 1	 0.000064050	 30.647959978	 0.000000000  FX
8420	 2	 0.000100132	 23.983739978	 0.000000000  FX
8435	 1	 0.000062208	 29.763719978	 0.000000000  FX
8432	 2	 0.000096197	 23.039229978	 0.000000000  FX
8425	 2	 0.000100312	 24.026939978	 0.000000000  FX
8415	 2	 0.000102338	 24.513189978	 0.000000000  FX
8426	 5	 0.000011016	 0.518394739	 0.000508996  VM
8442	 2	 0.000095821	 22.948979978	 0.000000000  FX
8410	 1	 0.000069430	 33.230359978	 0.000000000  FX
8417	 2	 0.000099174	 23.753769978	 0.000000000  FX
8430	 5	 0.000011014	 0.518311097	 0.000508914  VM
8421	 2	 0.000098679	 23.634869978	 0.000000000  FX
8444	 2	 0.000096023	 22.997559978	 0.000000000  FX
8422	 5	 0.000011014	 0.518328774	 0.000508931  VM
8413	 2	 0.000102267	 24.495999978	 0.000000000  FX
8445	 5	 0.000001709	 0.080402484	 0.000078945  VM
========================================================================
035_T106_C5_D240_VM3.txt	 2	 0.008796339172566	 204.232180	 0.001795	 503.401963
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
1298	 2	 0.000001359	 0.278070000	 0.000000000  FX
754	 1	 0.000001595	 0.669670000	 0.000000000  FX
1314	 5	 0.000000067	 0.003157967	 0.000003101  VM
825	 2	 0.000001452	 0.300440000	 0.000000000  FX
1576	 5	 0.000000138	 0.006490791	 0.000006373  VM
