<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
025_T76_C5_D171_VM3.txt	 1	 0.013061636101977	 60.704046	 0.000387	 111.077333
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
1401	 5	 0.000000077	 0.003615450	 0.000005982  VM
1313	 5	 0.000000071	 0.003337463	 0.000005522  VM
1327	 5	 0.000000078	 0.003647570	 0.000006035  VM
1352	 5	 0.000000072	 0.003385741	 0.000005602  VM
1370	 5	 0.000000073	 0.003415398	 0.000005651  VM
1339	 5	 0.000000075	 0.003507782	 0.000005804  VM
1343	 1	 0.000001504	 0.625910000	 0.000000000  FX
1355	 5	 0.000000075	 0.003549273	 0.000005872  VM
802	 5	 0.000000077	 0.003636316	 0.000006016  VM
1315	 5	 0.000000079	 0.003722440	 0.000006159  VM
1336	 5	 0.000000074	 0.003492021	 0.000005778  VM
1566	 5	 0.000000161	 0.007554612	 0.000012499  VM
1365	 5	 0.000000080	 0.003773034	 0.000006243  VM
856	 5	 0.000000072	 0.003408241	 0.000005639  VM
1602	 5	 0.000000139	 0.006559106	 0.000010852  VM
1394	 1	 0.000001191	 0.475840000	 0.000000000  FX
806	 5	 0.000000085	 0.004017429	 0.000006647  VM
1607	 1	 0.000001241	 0.499730000	 0.000000000  FX
1556	 5	 0.000000170	 0.008004468	 0.000013243  VM
1437	 1	 0.000001744	 0.740940000	 0.000000000  FX
1368	 5	 0.000000083	 0.003911300	 0.000006471  VM
1400	 1	 0.000001296	 0.526210000	 0.000000000  FX
878	 5	 0.000000069	 0.003266497	 0.000005404  VM
1373	 5	 0.000000082	 0.003840091	 0.000006353  VM
1569	 5	 0.000000181	 0.008527170	 0.000014108  VM
757	 5	 0.000000076	 0.003597322	 0.000005952  VM
1406	 1	 0.000001627	 0.684970000	 0.000000000  FX
1605	 1	 0.000001203	 0.481260000	 0.000000000  FX
1362	 5	 0.000000075	 0.003550221	 0.000005874  VM
828	 5	 0.000000073	 0.003416133	 0.000005652  VM
1574	 5	 0.000000139	 0.006536313	 0.000010814  VM
1514	 5	 0.000000162	 0.007630674	 0.000012625  VM
1553	 5	 0.000000164	 0.007708280	 0.000012753  VM
1601	 1	 0.000001181	 0.471100000	 0.000000000  FX
852	 5	 0.000000071	 0.003322850	 0.000005498  VM
1544	 5	 0.000000172	 0.008105527	 0.000013411  VM
1543	 5	 0.000000167	 0.007856877	 0.000012999  VM
737	 1	 0.000002782	 1.239540000	 0.000000000  FX
1595	 1	 0.000001179	 0.469870000	 0.000000000  FX
1638	 5	 0.000000148	 0.006969226	 0.000011531  VM
1540	 5	 0.000000168	 0.007884762	 0.000013045  VM
1633	 5	 0.000000144	 0.006781354	 0.000011220  VM
1432	 1	 0.000000949	 0.359440000	 0.000000000  FX
1528	 5	 0.000000169	 0.007930655	 0.000013121  VM
1516	 5	 0.000000164	 0.007724800	 0.000012781  VM
1342	 5	 0.000000077	 0.003623696	 0.000005995  VM
1537	 1	 0.000001361	 0.557070000	 0.000000000  FX
1404	 1	 0.000002410	 1.060940000	 0.000000000  FX
1563	 1	 0.000001358	 0.555900000	 0.000000000  FX
1571	 5	 0.000000221	 0.010403261	 0.000017212  VM
7575	 5	 0.000007790	 0.366605417	 0.000606553  VM
7577	 5	 0.000007786	 0.366392729	 0.000606201  VM
7573	 5	 0.000007791	 0.366655356	 0.000606635  VM
7569	 5	 0.000007789	 0.366561763	 0.000606480  VM
7578	 5	 0.000007786	 0.366415034	 0.000606238  VM
7560	 5	 0.000007789	 0.366549943	 0.000606461  VM
7567	 5	 0.000007786	 0.366415345	 0.000606238  VM
7558	 5	 0.000007791	 0.366655173	 0.000606635  VM
7561	 5	 0.000007788	 0.366506570	 0.000606389  VM
7564	 5	 0.000007790	 0.366590350	 0.000606528  VM
7570	 1	 0.000048536	 23.201435173	 0.000000000  FX
7555	 5	 0.000007845	 0.369199583	 0.000610845  VM
7562	 1	 0.000048373	 23.123115173	 0.000000000  FX
7568	 5	 0.000007791	 0.366655551	 0.000606635  VM
7576	 1	 0.000046064	 22.014515173	 0.000000000  FX
7566	 5	 0.000007811	 0.367558348	 0.000608129  VM
7571	 5	 0.000007798	 0.366961476	 0.000607142  VM
7579	 5	 0.000007788	 0.366479261	 0.000606344  VM
7574	 5	 0.000007788	 0.366476369	 0.000606339  VM
7559	 5	 0.000007796	 0.366852621	 0.000606962  VM
7557	 5	 0.000007805	 0.367314156	 0.000607725  VM
7572	 5	 0.000007790	 0.366593715	 0.000606533  VM
7563	 5	 0.000007785	 0.366367358	 0.000606159  VM
7565	 1	 0.000047983	 22.935645173	 0.000000000  FX
7556	 5	 0.000007810	 0.367542859	 0.000608104  VM
7580	 1	 0.000006782	 3.159340000	 0.000000000  FX
========================================================================
025_T76_C5_D171_VM3.txt	 2	 0.013030524770216	 63.049034	 0.000386	 110.784499
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
852	 5	 0.000000071	 0.003322850	 0.000005498  VM
1339	 5	 0.000000075	 0.003507782	 0.000005804  VM
1355	 5	 0.000000075	 0.003549273	 0.000005872  VM
1401	 5	 0.000000077	 0.003615450	 0.000005982  VM
1352	 5	 0.000000072	 0.003385741	 0.000005602  VM
828	 5	 0.000000073	 0.003416133	 0.000005652  VM
1342	 5	 0.000000077	 0.003623696	 0.000005995  VM
1373	 5	 0.000000082	 0.003840091	 0.000006353  VM
