
Max Financial Cost: 0.000608

Max Runtime:        36.306125

                          GRASP-VND            Flexe

Custo Financeiro Melhor:  0.000110           0.000115

Tempo Melhor:             16.253346           16.330874

Custo Normalizado Melhor: 0.434315           0.436799

Custo Normalizado Médio:  0.434315           0.442809

Tempo CPU Médio:          1.106715 	  

===============================================GRASP-VND===================================================

<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
863           2            0.000002732        0.132168015                0.003683134             VM
813           2            0.000003022        0.146228375                0.004074955             VM
732           1            0.000001010        0.195384221                0.005195574             VM
1521           1            0.000001412        0.273211548                0.007265125             VM
1317           2            0.000002583        0.124964487                0.003482393             VM
1320          5           0.000007636          0.223090000                0.006465849             FX
752           2            0.000002658        0.128597743                0.003583641             VM
1372          4           0.000003706          0.210360000                0.005809325             FX
1518           1            0.000001428        0.276301988                0.007347304             VM
1573           1            0.000001159        0.224275256                0.005963832             VM
6745           1            0.000014843        2.872680757                0.076389099             VM
6748           1            0.000014423        2.791339678                0.074226111             VM
6746           1            0.000014434        2.793546215                0.074284787             VM
6747           1            0.000014412        2.789242734                0.074170350             VM
6749           1            0.000014381        2.783334810                0.074013249             VM
6750          5           0.000009821          0.288620000                0.008360280             FX


================================================Flexe======================================================

<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
1317           2            0.000002583        0.124964487                0.003482393             VM
863           1            0.000000738        0.142834397                0.003798191             VM
1573           2            0.000004621        0.223602600                0.006231147             VM
752           3            0.000009527        0.115239086                0.003799365             VM
732           1            0.000001010        0.195384221                0.005195574             VM
1320          3           0.000002302          0.252200000                0.006788565             FX
1521           2            0.000005630        0.272430321                0.007591832             VM
813           2            0.000003022        0.146228375                0.004074955             VM
1372          3           0.000002230          0.243600000                0.006557637             FX
1518           2            0.000005694        0.275526215                0.007678105             VM
6749           1            0.000014381        2.783334810                0.074013249             VM
6745           1            0.000014843        2.872680757                0.076389099             VM
6747           1            0.000014412        2.789242734                0.074170350             VM
6746           1            0.000014434        2.793546215                0.074284787             VM
6748           1            0.000014423        2.791339678                0.074226111             VM
6750          4           0.000005345          0.308720000                0.008517951             FX


============================================================================================================
