<Instância> 	 <Custo_Financeiro_Melhor> 	 <Tempo_Melhor> 	 <Custo_Normalizado_Melhor> 	 <Custo_Normalizado_Médio> 	 <Tempo_CPU_Médio>
002_T7_C5_D14_VM3.txt	 0.000018	 3.131820	 0.279303	 0.285115	 0.037028
002_T7_C5_D16_VM3.txt	 0.000021	 3.588574	 0.275316	 0.281374	 0.037930
002_T7_C5_D18_VM3.txt	 0.000023	 4.268236	 0.321390	 0.327381	 0.041871
005_T16_C5_D35_VM3.txt	 0.000084	 14.792376	 0.315004	 0.324999	 0.349915
005_T16_C5_D38_VM3.txt	 0.000093	 16.703247	 0.306612	 0.317688	 0.373542
010_T31_C5_D70_VM3.txt	 0.000326	 54.071005	 0.329130	 0.343470	 2.496193
010_T31_C5_D71_VM3.txt	 0.000337	 55.017915	 0.329058	 0.342933	 2.504059
015_T46_C5_D105_VM3.txt	 0.000770	 119.248532	 0.348947	 0.365075	 8.717456
015_T46_C5_D108_VM3.txt	 0.000801	 125.188815	 0.326557	 0.341808	 8.871198
015_T46_C5_D140_VM3.txt	 0.001216	 190.650503	 0.318714	 0.338632	 12.818340
020_T61_C5_D138_VM3.txt	 0.001390	 212.831487	 0.358128	 0.362307	 21.716721
020_T61_C5_D145_VM3.txt	 0.001506	 235.089973	 0.352547	 0.357033	 22.986904
020_T61_C5_D180_VM3.txt	 0.002314	 327.068194	 0.347374	 0.352225	 32.500096
025_T76_C5_D171_VM3.txt	 0.002376	 311.767035	 0.364156	 0.371291	 44.507347
025_T76_C5_D176_VM3.txt	 0.002346	 338.458461	 0.380369	 0.386845	 46.412418
025_T76_C5_D220_VM3.txt	 0.003579	 483.193268	 0.339122	 0.346440	 67.451097
030_T91_C5_D209_VM3.txt	 0.003299	 479.475331	 0.363233	 0.369346	 86.202588
030_T91_C5_D212_VM3.txt	 0.003275	 500.419729	 0.376562	 0.382495	 87.198544
035_T106_C5_D240_VM3.txt	 0.004125	 650.687704	 0.388765	 0.392902	 142.629679
035_T106_C5_D253_VM3.txt	 0.004564	 725.072091	 0.365657	 0.370133	 154.365663
035_T106_C5_D300_VM3.txt	 0.006338	 946.998426	 0.361539	 0.365886	 216.049253
040_T121_C5_D275_VM3.txt	 0.005562	 844.160206	 0.376729	 0.378756	 229.778756
040_T121_C5_D340_VM3.txt	 0.008277	 1207.849982	 0.365375	 0.368228	 349.902127
045_T136_C5_D311_VM3.txt	 0.007316	 1064.112998	 0.391885	 0.398018	 350.857198
045_T136_C5_D314_VM3.txt	 0.007410	 1090.960677	 0.373311	 0.379487	 358.758942
045_T136_C5_D376_VM3.txt	 0.009991	 1506.478827	 0.350503	 0.356671	 511.750615
050_T151_C5_D355_VM3.txt	 0.009234	 1383.280195	 0.379640	 0.388562	 549.920278
050_T151_C5_D411_VM3.txt	 0.011839	 1806.122290	 0.353450	 0.363015	 731.596975
