<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
010_T31_C5_D70_VM3.txt	 1	 0.011071618857175	 4.051006	 0.000105	 38.993775
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
856	 5	 0.000000081	 0.003830604	 0.000038265  VM
1309	 1	 0.000002011	 0.869280000	 0.000000000  FX
1300	 1	 0.000002090	 0.907390000	 0.000000000  FX
1534	 5	 0.000000179	 0.008446485	 0.000084373  VM
1339	 5	 0.000000080	 0.003766895	 0.000037628  VM
1595	 1	 0.000001271	 0.514240000	 0.000000000  FX
1333	 5	 0.000000072	 0.003402309	 0.000033986  VM
1540	 1	 0.000001477	 0.612910000	 0.000000000  FX
1388	 1	 0.000001146	 0.454240000	 0.000000000  FX
1289	 5	 0.000000077	 0.003642356	 0.000036384  VM
1589	 5	 0.000000146	 0.006859561	 0.000068521  VM
1598	 5	 0.000000144	 0.006770461	 0.000067631  VM
1510	 1	 0.000001468	 0.608430000	 0.000000000  FX
1501	 5	 0.000000174	 0.008204681	 0.000081958  VM
806	 1	 0.000002668	 1.184710000	 0.000000000  FX
803	 1	 0.000002767	 1.232090000	 0.000000000  FX
1394	 1	 0.000001100	 0.432080000	 0.000000000  FX
1397	 1	 0.000001533	 0.639930000	 0.000000000  FX
853	 5	 0.000000092	 0.004348259	 0.000043435  VM
1490	 1	 0.000001484	 0.616240000	 0.000000000  FX
6844	 5	 0.000003213	 0.151180534	 0.001510168  VM
6843	 5	 0.000003215	 0.151277065	 0.001511132  VM
6841	 5	 0.000003219	 0.151490930	 0.001513268  VM
6839	 5	 0.000003215	 0.151304196	 0.001511403  VM
6837	 1	 0.000019754	 9.385804317	 0.000000000  FX
6840	 5	 0.000003215	 0.151315600	 0.001511517  VM
6842	 1	 0.000018813	 8.934194317	 0.000000000  FX
6838	 5	 0.000003214	 0.151253821	 0.001510900  VM
6835	 1	 0.000020887	 9.929674317	 0.000000000  FX
6836	 5	 0.000003214	 0.151268696	 0.001511048  VM
6845	 1	 0.000003459	 1.564200000	 0.000000000  FX
========================================================================
010_T31_C5_D70_VM3.txt	 2	 0.011368032316047	 4.078791	 0.000099	 35.684839
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
856	 1	 0.000001662	 0.701860000	 0.000000000  FX
806	 5	 0.000000078	 0.003667279	 0.000036633  VM
1309	 1	 0.000002011	 0.869280000	 0.000000000  FX
1540	 1	 0.000001477	 0.612910000	 0.000000000  FX
803	 5	 0.000000162	 0.007618055	 0.000076098  VM
1501	 1	 0.000001456	 0.602740000	 0.000000000  FX
1388	 1	 0.000001146	 0.454240000	 0.000000000  FX
1289	 5	 0.000000077	 0.003642356	 0.000036384  VM
1397	 5	 0.000000208	 0.009789470	 0.000097789  VM
1394	 2	 0.000001474	 0.305800000	 0.000000000  FX
1510	 1	 0.000001468	 0.608430000	 0.000000000  FX
1300	 5	 0.000000076	 0.003561315	 0.000035575  VM
1339	 5	 0.000000080	 0.003766895	 0.000037628  VM
1534	 1	 0.000001471	 0.610180000	 0.000000000  FX
853	 5	 0.000000092	 0.004348259	 0.000043435  VM
1333	 5	 0.000000072	 0.003402309	 0.000033986  VM
1490	 1	 0.000001484	 0.616240000	 0.000000000  FX
1598	 5	 0.000000144	 0.006770461	 0.000067631  VM
1595	 1	 0.000001271	 0.514240000	 0.000000000  FX
1589	 5	 0.000000146	 0.006859561	 0.000068521  VM
6842	 5	 0.000003215	 0.151294528	 0.001511306  VM
6839	 1	 0.000019649	 9.335404317	 0.000000000  FX
6844	 5	 0.000003213	 0.151180534	 0.001510168  VM
6835	 1	 0.000020887	 9.929674317	 0.000000000  FX
6838	 5	 0.000003214	 0.151253821	 0.001510900  VM
6843	 5	 0.000003215	 0.151277065	 0.001511132  VM
6841	 5	 0.000003219	 0.151490930	 0.001513268  VM
6836	 5	 0.000003214	 0.151268696	 0.001511048  VM
6840	 5	 0.000003215	 0.151315600	 0.001511517  VM
6837	 1	 0.000019754	 9.385804317	 0.000000000  FX
6845	 5	 0.000000542	 0.025528805	 0.000255012  VM
========================================================================
010_T31_C5_D70_VM3.txt	 3	 0.012751224613088	 4.072188	 0.000083	 27.176984
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
1300	 5	 0.000000076	 0.003561315	 0.000035575  VM
1289	 5	 0.000000077	 0.003642356	 0.000036384  VM
1534	 5	 0.000000179	 0.008446485	 0.000084373  VM
1309	 5	 0.000000078	 0.003668390	 0.000036644  VM
1540	 1	 0.000001477	 0.612910000	 0.000000000  FX
1333	 1	 0.000002200	 0.960120000	 0.000000000  FX
1589	 5	 0.000000146	 0.006859561	 0.000068521  VM
803	 5	 0.000000162	 0.007618055	 0.000076098  VM
856	 5	 0.000000081	 0.003830604	 0.000038265  VM
1501	 1	 0.000001456	 0.602740000	 0.000000000  FX
1388	 1	 0.000001146	 0.454240000	 0.000000000  FX
1510	 1	 0.000001468	 0.608430000	 0.000000000  FX
1394	 1	 0.000001100	 0.432080000	 0.000000000  FX
806	 5	 0.000000078	 0.003667279	 0.000036633  VM
853	 5	 0.000000092	 0.004348259	 0.000043435  VM
1397	 5	 0.000000208	 0.009789470	 0.000097789  VM
1490	 5	 0.000000176	 0.008275725	 0.000082668  VM
1598	 1	 0.000001291	 0.523730000	 0.000000000  FX
1339	 1	 0.000003129	 1.405770000	 0.000000000  FX
1595	 1	 0.000001271	 0.514240000	 0.000000000  FX
6837	 5	 0.000003211	 0.151114067	 0.001509504  VM
6838	 5	 0.000003214	 0.151253821	 0.001510900  VM
6839	 1	 0.000019649	 9.335404317	 0.000000000  FX
6840	 5	 0.000003215	 0.151315600	 0.001511517  VM
6841	 5	 0.000003219	 0.151490930	 0.001513268  VM
6844	 5	 0.000003213	 0.151180534	 0.001510168  VM
6836	 5	 0.000003214	 0.151268696	 0.001511048  VM
6842	 5	 0.000003215	 0.151294528	 0.001511306  VM
6835	 5	 0.000003270	 0.153879481	 0.001537128  VM
6843	 1	 0.000018714	 8.886614317	 0.000000000  FX
6845	 1	 0.000003459	 1.564200000	 0.000000000  FX
========================================================================
010_T31_C5_D70_VM3.txt	 4	 0.009989192238890	 4.159599	 0.000110	 41.948140
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
856	 1	 0.000001662	 0.701860000	 0.000000000  FX
806	 5	 0.000000078	 0.003667279	 0.000036633  VM
853	 5	 0.000000092	 0.004348259	 0.000043435  VM
1388	 5	 0.000000082	 0.003841711	 0.000038376  VM
1598	 5	 0.000000144	 0.006770461	 0.000067631  VM
1339	 5	 0.000000080	 0.003766895	 0.000037628  VM
1309	 5	 0.000000078	 0.003668390	 0.000036644  VM
1501	 1	 0.000001456	 0.602740000	 0.000000000  FX
1300	 1	 0.000002090	 0.907390000	 0.000000000  FX
1490	 1	 0.000001484	 0.616240000	 0.000000000  FX
803	 5	 0.000000162	 0.007618055	 0.000076098  VM
1333	 5	 0.000000072	 0.003402309	 0.000033986  VM
1394	 2	 0.000001474	 0.305800000	 0.000000000  FX
1289	 5	 0.000000077	 0.003642356	 0.000036384  VM
1510	 1	 0.000001468	 0.608430000	 0.000000000  FX
1397	 1	 0.000001533	 0.639930000	 0.000000000  FX
1595	 1	 0.000001271	 0.514240000	 0.000000000  FX
1540	 5	 0.000000173	 0.008130658	 0.000081219  VM
1589	 5	 0.000000146	 0.006859561	 0.000068521  VM
1534	 5	 0.000000179	 0.008446485	 0.000084373  VM
6843	 1	 0.000018714	 8.886614317	 0.000000000  FX
6837	 5	 0.000003211	 0.151114067	 0.001509504  VM
6836	 5	 0.000003214	 0.151268696	 0.001511048  VM
6840	 1	 0.000019749	 9.383324317	 0.000000000  FX
6839	 5	 0.000003215	 0.151304196	 0.001511403  VM
6835	 5	 0.000003270	 0.153879481	 0.001537128  VM
6842	 1	 0.000018813	 8.934194317	 0.000000000  FX
6841	 5	 0.000003219	 0.151490930	 0.001513268  VM
6844	 1	 0.000018632	 8.847374317	 0.000000000  FX
6838	 5	 0.000003214	 0.151253821	 0.001510900  VM
6845	 5	 0.000000542	 0.025528805	 0.000255012  VM
========================================================================
010_T31_C5_D70_VM3.txt	 5	 0.014053973828839	 4.108290	 0.000069	 18.602346
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
803	 5	 0.000000162	 0.007618055	 0.000076098  VM
806	 5	 0.000000078	 0.003667279	 0.000036633  VM
1397	 1	 0.000001533	 0.639930000	 0.000000000  FX
1339	 5	 0.000000080	 0.003766895	 0.000037628  VM
1289	 5	 0.000000077	 0.003642356	 0.000036384  VM
1388	 5	 0.000000082	 0.003841711	 0.000038376  VM
1309	 1	 0.000002011	 0.869280000	 0.000000000  FX
1595	 1	 0.000001271	 0.514240000	 0.000000000  FX
1598	 1	 0.000001291	 0.523730000	 0.000000000  FX
856	 5	 0.000000081	 0.003830604	 0.000038265  VM
1510	 1	 0.000001468	 0.608430000	 0.000000000  FX
1501	 1	 0.000001456	 0.602740000	 0.000000000  FX
1540	 1	 0.000001477	 0.612910000	 0.000000000  FX
853	 5	 0.000000092	 0.004348259	 0.000043435  VM
1333	 1	 0.000002200	 0.960120000	 0.000000000  FX
1394	 2	 0.000001474	 0.305800000	 0.000000000  FX
1490	 1	 0.000001484	 0.616240000	 0.000000000  FX
1589	 1	 0.000001305	 0.530430000	 0.000000000  FX
1300	 5	 0.000000076	 0.003561315	 0.000035575  VM
1534	 5	 0.000000179	 0.008446485	 0.000084373  VM
6843	 5	 0.000003215	 0.151277065	 0.001511132  VM
6838	 5	 0.000003214	 0.151253821	 0.001510900  VM
6839	 5	 0.000003215	 0.151304196	 0.001511403  VM
6837	 5	 0.000003211	 0.151114067	 0.001509504  VM
6835	 5	 0.000003270	 0.153879481	 0.001537128  VM
6844	 1	 0.000018632	 8.847374317	 0.000000000  FX
6836	 5	 0.000003214	 0.151268696	 0.001511048  VM
6840	 5	 0.000003215	 0.151315600	 0.001511517  VM
6842	 5	 0.000003215	 0.151294528	 0.001511306  VM
6841	 5	 0.000003219	 0.151490930	 0.001513268  VM
6845	 1	 0.000003459	 1.564200000	 0.000000000  FX
========================================================================
010_T31_C5_D70_VM3.txt	 6	 0.012655076813577	 4.063822	 0.000085	 28.064389
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
1289	 1	 0.000002291	 1.003640000	 0.000000000  FX
806	 5	 0.000000078	 0.003667279	 0.000036633  VM
1309	 1	 0.000002011	 0.869280000	 0.000000000  FX
1333	 5	 0.000000072	 0.003402309	 0.000033986  VM
1388	 5	 0.000000082	 0.003841711	 0.000038376  VM
1510	 1	 0.000001468	 0.608430000	 0.000000000  FX
1589	 1	 0.000001305	 0.530430000	 0.000000000  FX
803	 1	 0.000002767	 1.232090000	 0.000000000  FX
1394	 1	 0.000001100	 0.432080000	 0.000000000  FX
1397	 5	 0.000000208	 0.009789470	 0.000097789  VM
1339	 5	 0.000000080	 0.003766895	 0.000037628  VM
853	 5	 0.000000092	 0.004348259	 0.000043435  VM
856	 5	 0.000000081	 0.003830604	 0.000038265  VM
1598	 5	 0.000000144	 0.006770461	 0.000067631  VM
1595	 5	 0.000000139	 0.006524979	 0.000065179  VM
1300	 1	 0.000002090	 0.907390000	 0.000000000  FX
1540	 5	 0.000000173	 0.008130658	 0.000081219  VM
1501	 1	 0.000001456	 0.602740000	 0.000000000  FX
1490	 1	 0.000001484	 0.616240000	 0.000000000  FX
1534	 1	 0.000001471	 0.610180000	 0.000000000  FX
6839	 5	 0.000003215	 0.151304196	 0.001511403  VM
6835	 5	 0.000003270	 0.153879481	 0.001537128  VM
6844	 5	 0.000003213	 0.151180534	 0.001510168  VM
6836	 5	 0.000003214	 0.151268696	 0.001511048  VM
6841	 5	 0.000003219	 0.151490930	 0.001513268  VM
6843	 1	 0.000018714	 8.886614317	 0.000000000  FX
6840	 5	 0.000003215	 0.151315600	 0.001511517  VM
6837	 5	 0.000003211	 0.151114067	 0.001509504  VM
6838	 5	 0.000003214	 0.151253821	 0.001510900  VM
6842	 1	 0.000018813	 8.934194317	 0.000000000  FX
6845	 1	 0.000003459	 1.564200000	 0.000000000  FX
========================================================================
010_T31_C5_D70_VM3.txt	 7	 0.011249539101388	 4.057128	 0.000102	 37.394867
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
1333	 5	 0.000000072	 0.003402309	 0.000033986  VM
853	 5	 0.000000092	 0.004348259	 0.000043435  VM
1589	 5	 0.000000146	 0.006859561	 0.000068521  VM
1300	 5	 0.000000076	 0.003561315	 0.000035575  VM
1388	 1	 0.000001146	 0.454240000	 0.000000000  FX
1490	 5	 0.000000176	 0.008275725	 0.000082668  VM
806	 1	 0.000002668	 1.184710000	 0.000000000  FX
856	 1	 0.000001662	 0.701860000	 0.000000000  FX
1397	 1	 0.000001533	 0.639930000	 0.000000000  FX
1339	 5	 0.000000080	 0.003766895	 0.000037628  VM
1534	 1	 0.000001471	 0.610180000	 0.000000000  FX
1598	 5	 0.000000144	 0.006770461	 0.000067631  VM
1595	 1	 0.000001271	 0.514240000	 0.000000000  FX
1289	 1	 0.000002291	 1.003640000	 0.000000000  FX
1510	 5	 0.000000178	 0.008383022	 0.000083739  VM
1309	 5	 0.000000078	 0.003668390	 0.000036644  VM
803	 5	 0.000000162	 0.007618055	 0.000076098  VM
1540	 1	 0.000001477	 0.612910000	 0.000000000  FX
1501	 5	 0.000000174	 0.008204681	 0.000081958  VM
1394	 1	 0.000001100	 0.432080000	 0.000000000  FX
6839	 1	 0.000019649	 9.335404317	 0.000000000  FX
6843	 5	 0.000003215	 0.151277065	 0.001511132  VM
6840	 5	 0.000003215	 0.151315600	 0.001511517  VM
6835	 5	 0.000003270	 0.153879481	 0.001537128  VM
6836	 1	 0.000020632	 9.807174317	 0.000000000  FX
6844	 5	 0.000003213	 0.151180534	 0.001510168  VM
6841	 1	 0.000019800	 9.408124317	 0.000000000  FX
6842	 5	 0.000003215	 0.151294528	 0.001511306  VM
6837	 5	 0.000003211	 0.151114067	 0.001509504  VM
6838	 5	 0.000003214	 0.151253821	 0.001510900  VM
6845	 1	 0.000003459	 1.564200000	 0.000000000  FX
========================================================================
010_T31_C5_D70_VM3.txt	 8	 0.011344267155289	 4.097617	 0.000106	 32.542290
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
1309	 5	 0.000000078	 0.003668390	 0.000036644  VM
1339	 5	 0.000000080	 0.003766895	 0.000037628  VM
1540	 1	 0.000001477	 0.612910000	 0.000000000  FX
856	 5	 0.000000081	 0.003830604	 0.000038265  VM
1289	 1	 0.000002291	 1.003640000	 0.000000000  FX
1300	 1	 0.000002090	 0.907390000	 0.000000000  FX
1501	 1	 0.000001456	 0.602740000	 0.000000000  FX
1510	 1	 0.000001468	 0.608430000	 0.000000000  FX
1534	 5	 0.000000179	 0.008446485	 0.000084373  VM
1595	 5	 0.000000139	 0.006524979	 0.000065179  VM
853	 5	 0.000000092	 0.004348259	 0.000043435  VM
1388	 5	 0.000000082	 0.003841711	 0.000038376  VM
803	 5	 0.000000162	 0.007618055	 0.000076098  VM
1394	 1	 0.000001100	 0.432080000	 0.000000000  FX
1598	 1	 0.000001291	 0.523730000	 0.000000000  FX
806	 5	 0.000000078	 0.003667279	 0.000036633  VM
1397	 5	 0.000000208	 0.009789470	 0.000097789  VM
1333	 5	 0.000000072	 0.003402309	 0.000033986  VM
1589	 5	 0.000000146	 0.006859561	 0.000068521  VM
1490	 5	 0.000000176	 0.008275725	 0.000082668  VM
6835	 5	 0.000003270	 0.153879481	 0.001537128  VM
6840	 5	 0.000003215	 0.151315600	 0.001511517  VM
6842	 5	 0.000003215	 0.151294528	 0.001511306  VM
6843	 2	 0.000029236	 6.968734317	 0.000000000  FX
6838	 5	 0.000003214	 0.151253821	 0.001510900  VM
6837	 5	 0.000003211	 0.151114067	 0.001509504  VM
6836	 5	 0.000003214	 0.151268696	 0.001511048  VM
6844	 1	 0.000018632	 8.847374317	 0.000000000  FX
6839	 1	 0.000019649	 9.335404317	 0.000000000  FX
6841	 5	 0.000003219	 0.151490930	 0.001513268  VM
6845	 1	 0.000003459	 1.564200000	 0.000000000  FX
========================================================================
010_T31_C5_D70_VM3.txt	 9	 0.012946068657567	 3.901267	 0.000082	 26.605219
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
1309	 1	 0.000002011	 0.869280000	 0.000000000  FX
1300	 5	 0.000000076	 0.003561315	 0.000035575  VM
1289	 1	 0.000002291	 1.003640000	 0.000000000  FX
1534	 1	 0.000001471	 0.610180000	 0.000000000  FX
1339	 5	 0.000000080	 0.003766895	 0.000037628  VM
1388	 5	 0.000000082	 0.003841711	 0.000038376  VM
806	 5	 0.000000078	 0.003667279	 0.000036633  VM
1397	 5	 0.000000208	 0.009789470	 0.000097789  VM
1540	 1	 0.000001477	 0.612910000	 0.000000000  FX
856	 5	 0.000000081	 0.003830604	 0.000038265  VM
1333	 5	 0.000000072	 0.003402309	 0.000033986  VM
1510	 1	 0.000001468	 0.608430000	 0.000000000  FX
1501	 5	 0.000000174	 0.008204681	 0.000081958  VM
1589	 1	 0.000001305	 0.530430000	 0.000000000  FX
1595	 5	 0.000000139	 0.006524979	 0.000065179  VM
1598	 5	 0.000000144	 0.006770461	 0.000067631  VM
803	 1	 0.000002767	 1.232090000	 0.000000000  FX
1394	 1	 0.000001100	 0.432080000	 0.000000000  FX
853	 5	 0.000000092	 0.004348259	 0.000043435  VM
1490	 1	 0.000001484	 0.616240000	 0.000000000  FX
6835	 5	 0.000003270	 0.153879481	 0.001537128  VM
6840	 5	 0.000003215	 0.151315600	 0.001511517  VM
6838	 5	 0.000003214	 0.151253821	 0.001510900  VM
6843	 5	 0.000003215	 0.151277065	 0.001511132  VM
6842	 5	 0.000003215	 0.151294528	 0.001511306  VM
6839	 5	 0.000003215	 0.151304196	 0.001511403  VM
6844	 5	 0.000003213	 0.151180534	 0.001510168  VM
6836	 5	 0.000003214	 0.151268696	 0.001511048  VM
6837	 1	 0.000019754	 9.385804317	 0.000000000  FX
6841	 1	 0.000019800	 9.408124317	 0.000000000  FX
6845	 5	 0.000000542	 0.025528805	 0.000255012  VM
========================================================================
010_T31_C5_D70_VM3.txt	 10	 0.012944718308538	 4.030207	 0.000082	 26.193994
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
1388	 2	 0.000001207	 0.241690000	 0.000000000  FX
806	 5	 0.000000078	 0.003667279	 0.000036633  VM
856	 5	 0.000000081	 0.003830604	 0.000038265  VM
803	 5	 0.000000162	 0.007618055	 0.000076098  VM
1300	 1	 0.000002090	 0.907390000	 0.000000000  FX
1501	 1	 0.000001456	 0.602740000	 0.000000000  FX
1394	 1	 0.000001100	 0.432080000	 0.000000000  FX
1289	 1	 0.000002291	 1.003640000	 0.000000000  FX
1598	 5	 0.000000144	 0.006770461	 0.000067631  VM
1333	 5	 0.000000072	 0.003402309	 0.000033986  VM
1397	 1	 0.000001533	 0.639930000	 0.000000000  FX
1309	 5	 0.000000078	 0.003668390	 0.000036644  VM
1339	 5	 0.000000080	 0.003766895	 0.000037628  VM
1595	 1	 0.000001271	 0.514240000	 0.000000000  FX
1534	 1	 0.000001471	 0.610180000	 0.000000000  FX
1589	 5	 0.000000146	 0.006859561	 0.000068521  VM
1540	 5	 0.000000173	 0.008130658	 0.000081219  VM
1510	 1	 0.000001468	 0.608430000	 0.000000000  FX
853	 5	 0.000000092	 0.004348259	 0.000043435  VM
1490	 5	 0.000000176	 0.008275725	 0.000082668  VM
6841	 1	 0.000019800	 9.408124317	 0.000000000  FX
6836	 5	 0.000003214	 0.151268696	 0.001511048  VM
