<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
035_T106_C5_D300_VM3.txt	 1	 0.501818358903098	 2.415214	 0.017367	 906.843752
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
10	 2	 0.000002393	 0.115765755	 0.000064341  VM
9	 2	 0.000002682	 0.129794257	 0.000072137  VM
735	 4	 0.000018330	 0.110868520	 0.000087160  VM
28	 2	 0.000002993	 0.144833406	 0.000080496  VM
37	 3	 0.000010450	 0.126408482	 0.000082737  VM
39	 1	 0.000000723	 0.139959808	 0.000074332  VM
33	 2	 0.000002553	 0.123510043	 0.000068645  VM
38	 1	 0.000000873	 0.169040894	 0.000089777  VM
734	 4	 0.000019082	 0.115418225	 0.000090737  VM
731	 4	 0.000004258	 0.243450000	 0.000134073  FX
737	 1	 0.000000796	 0.154115510	 0.000081851  VM
35	 2	 0.000003240	 0.156785200	 0.000087138  VM
738	 5	 0.000008077	 0.236300000	 0.000136416  FX
2	 2	 0.000002553	 0.123543393	 0.000068663  VM
34	 1	 0.000000682	 0.132073997	 0.000070144  VM
36	 4	 0.000019646	 0.118827125	 0.000093417  VM
739	 4	 0.000004199	 0.239950000	 0.000132150  FX
30	 2	 0.000002437	 0.117932400	 0.000065545  VM
29	 4	 0.000018686	 0.113019055	 0.000088851  VM
40	 1	 0.000000720	 0.139380497	 0.000074025  VM
752	 1	 0.000000950	 0.183831464	 0.000097633  VM
811	 5	 0.000009171	 0.269140000	 0.000155330  FX
740	 4	 0.000004518	 0.259050000	 0.000142644  FX
815	 5	 0.000010224	 0.300720000	 0.000173519  FX
856	 1	 0.000001644	 0.318165451	 0.000168977  VM
27	 5	 0.000007924	 0.231710000	 0.000133772  FX
751	 3	 0.000009696	 0.117281848	 0.000076764  VM
23	 4	 0.000004967	 0.286040000	 0.000157472  FX
733	 3	 0.000002319	 0.254240000	 0.000136627  FX
813	 1	 0.000001660	 0.321325256	 0.000170655  VM
808	 3	 0.000002969	 0.332240000	 0.000178446  FX
855	 2	 0.000006421	 0.310706840	 0.000172685  VM
24	 1	 0.000000944	 0.182725270	 0.000097045  VM
755	 2	 0.000002796	 0.135276076	 0.000075184  VM
1	 3	 0.000002892	 0.323060000	 0.000173524  FX
754	 4	 0.000031218	 0.188819254	 0.000148442  VM
861	 2	 0.000006427	 0.310980929	 0.000172838  VM
753	 5	 0.000074445	 0.109478318	 0.000175794  VM
854	 3	 0.000003183	 0.357940000	 0.000192225  FX
806	 4	 0.000004927	 0.283590000	 0.000156126  FX
25	 5	 0.000008488	 0.248640000	 0.000143523  FX
756	 3	 0.000003198	 0.359760000	 0.000193201  FX
814	 2	 0.000006522	 0.315579539	 0.000175393  VM
732	 5	 0.000076828	 0.112982496	 0.000181421  VM
809	 2	 0.000006699	 0.324159168	 0.000180162  VM
26	 4	 0.000018110	 0.109539423	 0.000086115  VM
859	 2	 0.000006778	 0.327981111	 0.000182286  VM
865	 4	 0.000006061	 0.351640000	 0.000193514  FX
810	 4	 0.000004890	 0.281400000	 0.000154923  FX
858	 1	 0.000001644	 0.318184785	 0.000168988  VM
807	 3	 0.000003112	 0.349430000	 0.000187662  FX
860	 2	 0.000006358	 0.307630772	 0.000170976  VM
803	 3	 0.000002516	 0.277870000	 0.000149296  FX
816	 4	 0.000004931	 0.283840000	 0.000156263  FX
864	 1	 0.000001625	 0.314572654	 0.000167069  VM
736	 5	 0.000008433	 0.246980000	 0.000142567  FX
862	 4	 0.000005777	 0.334600000	 0.000184152  FX
853	 4	 0.000006315	 0.366900000	 0.000201898  FX
863	 3	 0.000025744	 0.311401535	 0.000203819  VM
804	 4	 0.000004357	 0.249410000	 0.000137347  FX
857	 1	 0.000001985	 0.384130375	 0.000204011  VM
760	 5	 0.000011149	 0.328480000	 0.000189507  FX
759	 3	 0.000003115	 0.349740000	 0.000187828  FX
866	 1	 0.000001635	 0.316510624	 0.000168098  VM
852	 5	 0.000011789	 0.347660000	 0.000200554  FX
812	 1	 0.000001771	 0.342706108	 0.000182011  VM
802	 3	 0.000002514	 0.277680000	 0.000149194  FX
805	 4	 0.000004603	 0.264200000	 0.000145473  FX
757	 2	 0.000001797	 0.383310000	 0.000203283  FX
758	 3	 0.000003192	 0.359040000	 0.000192815  FX
3371	 2	 0.000502783	 24.327838916	 0.013520973  VM
3392	 2	 0.000501237	 24.253020209	 0.013479390  VM
3359	 1	 0.000129425	 25.048391518	 0.013303170  VM
3391	 5	 0.000868256	 26.041637204	 0.014999070  FX
3364	 2	 0.000503907	 24.382200871	 0.013551187  VM
3372	 2	 0.000501443	 24.262965694	 0.013484918  VM
3375	 5	 0.000868817	 26.058457204	 0.015008757  FX
3390	 1	 0.000126608	 24.503222492	 0.013013631  VM
3385	 4	 0.000451731	 27.091797204	 0.014884866  FX
3376	 5	 0.000865783	 25.967447204	 0.014956340  FX
3388	 5	 0.000866539	 25.990107204	 0.014969391  FX
3370	 1	 0.000126715	 24.523901226	 0.013024614  VM
3378	 1	 0.000126577	 24.497288903	 0.013010480  VM
3381	 4	 0.000450227	 27.001587204	 0.014835304  FX
3383	 5	 0.000868557	 26.050657204	 0.015004265  FX
3377	 4	 0.000449123	 26.935297204	 0.014798883  FX
3382	 5	 0.000866098	 25.976897204	 0.014961783  FX
3387	 4	 0.000451398	 27.071837204	 0.014873900  FX
3362	 4	 0.000462025	 27.709467204	 0.015224221  FX
3365	 4	 0.000455785	 27.335047204	 0.015018511  FX
3361	 1	 0.000127959	 24.764718561	 0.013152511  VM
3358	 2	 0.000500316	 24.208464622	 0.013454627  VM
3389	 2	 0.000501216	 24.252001113	 0.013478824  VM
3363	 2	 0.000503930	 24.383300463	 0.013551798  VM
3374	 4	 0.000449543	 26.960507204	 0.014812734  FX
3380	 5	 0.000868027	 26.034757204	 0.014995107  FX
3386	 2	 0.000501846	 24.282493631	 0.013495771  VM
3384	 5	 0.000869243	 26.071237204	 0.015016118  FX
3360	 1	 0.000129443	 25.051933100	 0.013305051  VM
3368	 2	 0.000502180	 24.298628746	 0.013504739  VM
3366	 2	 0.000504519	 24.411832557	 0.013567655  VM
3367	 2	 0.000502350	 24.306872495	 0.013509321  VM
3369	 1	 0.000127608	 24.696805450	 0.013116443  VM
3379	 1	 0.000126661	 24.513377614	 0.013019025  VM
3373	 1	 0.000126618	 24.505180327	 0.013014671  VM
3393	 3	 0.000016028	 1.899320000	 0.001018622  FX
========================================================================
