
Max Financial Cost: 0.048867

Max Runtime:        3033.948240

                          GRASP-VND            Flexe

Custo Financeiro Melhor:  0.007387           0.022496

Tempo Melhor:             1387.638203           1406.251539

Custo Normalizado Melhor: 0.442060           0.463348

Custo Normalizado Médio:  0.442067           0.465069

Tempo CPU Médio:          1236.645761 	  

===============================================GRASP-VND===================================================

<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
37           2            0.000002728        0.131988898                0.000044120             VM
803           2            0.000002875        0.139113161                0.000046501             VM
751           2            0.000003010        0.145653103                0.000048687             VM
27           2            0.000002757        0.133387469                0.000044587             VM
734           2            0.000002909        0.140758370                0.000047051             VM
739           2            0.000003265        0.157963924                0.000052803             VM
732           2            0.000002715        0.131379532                0.000043916             VM
28           2            0.000003028        0.146531001                0.000048981             VM
25           2            0.000002730        0.132116124                0.000044162             VM
26           2            0.000002983        0.144354883                0.000048253             VM
35           2            0.000003437        0.166320975                0.000055596             VM
805           1            0.000000739        0.143030813                0.000045542             VM
755           2            0.000003091        0.149573800                0.000049998             VM
737           2            0.000003063        0.148191988                0.000049536             VM
758           2            0.000003000        0.145141003                0.000048516             VM
29           2            0.000003012        0.145729318                0.000048713             VM
802           2            0.000003104        0.150177234                0.000050200             VM
738           2            0.000003349        0.162049724                0.000054168             VM
9           2            0.000002884        0.139550935                0.000046648             VM
733           2            0.000002895        0.140077852                0.000046824             VM
821          5           0.000008074          0.236210000                0.000082224             FX
815          5           0.000008879          0.260380000                0.000090616             FX
753           2            0.000003076        0.148842626                0.000049754             VM
36           2            0.000002956        0.143025927                0.000047809             VM
23           2            0.000002910        0.140812989                0.000047070             VM
823          5           0.000008542          0.250260000                0.000087102             FX
873           1            0.000001456        0.281774761                0.000089720             VM
816          4           0.000004541          0.260440000                0.000086196             FX
731           2            0.000002952        0.142842855                0.000047748             VM
1           1            0.000001273        0.246441483                0.000078469             VM
24           2            0.000003260        0.157724378                0.000052722             VM
40           2            0.000002931        0.141809251                0.000047403             VM
822          4           0.000004476          0.256530000                0.000084905             FX
38           2            0.000003030        0.146590954                0.000049001             VM
806           2            0.000002906        0.140608287                0.000047001             VM
804           2            0.000002690        0.130183208                0.000043516             VM
824          4           0.000004092          0.233490000                0.000077298             FX
855           1            0.000001636        0.316608146                0.000100811             VM
876           1            0.000001440        0.278704083                0.000088742             VM
864           1            0.000001785        0.345441799                0.000109992             VM
869           1            0.000001621        0.313628068                0.000099862             VM
756           1            0.000000712        0.137848131                0.000043892             VM
752           2            0.000003342        0.161698952                0.000054051             VM
740           2            0.000003468        0.167800827                0.000056091             VM
754           2            0.000004338        0.209879594                0.000070156             VM
757           2            0.000002684        0.129884724                0.000043417             VM
862           1            0.000001693        0.327686774                0.000104339             VM
33           2            0.000002674        0.129386358                0.000043250             VM
865           1            0.000001632        0.315814874                0.000100559             VM
812          5           0.000008482          0.248450000                0.000086474             FX
819          4           0.000004249          0.242940000                0.000080418             FX
759           2            0.000003296        0.159498785                0.000053316             VM
34           2            0.000002790        0.135009400                0.000045130             VM
735           2            0.000003362        0.162674664                0.000054377             VM
868           1            0.000001653        0.319868204                0.000101849             VM
852           1            0.000001695        0.327960683                0.000104426             VM
736           2            0.000003100        0.150006896                0.000050143             VM
760           2            0.000002826        0.136739593                0.000045708             VM
870           1            0.000001634        0.316281537                0.000100707             VM
39           2            0.000002774        0.134240062                0.000044872             VM
820          5           0.000008846          0.259370000                0.000090266             FX
826          4           0.000003895          0.221680000                0.000073398             FX
871           1            0.000001621        0.313771490                0.000099908             VM
874           1            0.000001361        0.263460402                0.000083888             VM
863           1            0.000001573        0.304365754                0.000096913             VM
817          5           0.000006534          0.190020000                0.000066185             FX
10           2            0.000003010        0.145643236                0.000048684             VM
861           1            0.000001694        0.327864869                0.000104396             VM
859           1            0.000001668        0.322849392                0.000102799             VM
875           1            0.000001479        0.286243450                0.000091143             VM
814          5           0.000008629          0.252870000                0.000088009             FX
856           1            0.000001562        0.302242476                0.000096237             VM
854           1            0.000001653        0.319946969                0.000101874             VM
858           1            0.000001789        0.346279722                0.000110259             VM
825          4           0.000003899          0.221910000                0.000073474             FX
809          5           0.000009499          0.278970000                0.000097071             FX
860           1            0.000001673        0.323733089                0.000103080             VM
807          5           0.000008889          0.260670000                0.000090717             FX
867           1            0.000001813        0.350940593                0.000111743             VM
811          5           0.000009123          0.267700000                0.000093158             FX
2           2            0.000002839        0.137370956                0.000045919             VM
866           1            0.000001623        0.314180058                0.000100038             VM
30           2            0.000002738        0.132457696                0.000044277             VM
853           1            0.000001604        0.310460861                0.000098854             VM
810          5           0.000008595          0.251840000                0.000087651             FX
808          4           0.000004688          0.269290000                0.000089118             FX
813          5           0.000009047          0.265420000                0.000092366             FX
857           1            0.000002009        0.388879916                0.000123823             VM
818          5           0.000006939          0.202170000                0.000070404             FX
872           1            0.000001977        0.382617160                0.000121829             VM
4550           1            0.000156372        30.263630268                0.009636248             VM
4539           1            0.000156506        30.289482587                0.009644479             VM
4544           1            0.000156386        30.266350333                0.009637114             VM
4540           1            0.000156379        30.265029962                0.009636693             VM
