
Max Financial Cost: 0.004261

Max Runtime:        230.525408

                          GRASP-VND            Flexe

Custo Financeiro Melhor:  0.000617           0.000748

Tempo Melhor:             118.817704           131.242121

Custo Normalizado Melhor: 0.330061           0.372369

Custo Normalizado Médio:  0.330061           0.384980

Tempo CPU Médio:          21.275885 	  

===============================================GRASP-VND===================================================

<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
1298           1            0.000000880        0.170367953                0.000472807             VM
1329           1            0.000000920        0.178080551                0.000494211             VM
1372           1            0.000000777        0.150418457                0.000417443             VM
1356           1            0.000000741        0.143342343                0.000397805             VM
1531           1            0.000001317        0.254835840                0.000707223             VM
1327           1            0.000000648        0.125484647                0.000348246             VM
1315           1            0.000000781        0.151095398                0.000419322             VM
1638           1            0.000001045        0.202315337                0.000561468             VM
1577           1            0.000001068        0.206683500                0.000573590             VM
811           1            0.000000700        0.135472085                0.000375964             VM
753           1            0.000000685        0.132595880                0.000367982             VM
1528           1            0.000001373        0.265695223                0.000737360             VM
1573           1            0.000001110        0.214750362                0.000595978             VM
1557           1            0.000001305        0.252643590                0.000701139             VM
9           1            0.000000921        0.178175924                0.000494476             VM
1393           1            0.000002115        0.409288090                0.001135861             VM
26           1            0.000000659        0.127446601                0.000353691             VM
1330           1            0.000000881        0.170584418                0.000473408             VM
1516           1            0.000001338        0.258993671                0.000718762             VM
1631           1            0.000001083        0.209612926                0.000581720             VM
861           1            0.000000689        0.133264264                0.000369836             VM
1530           1            0.000001345        0.260366111                0.000722571             VM
733           1            0.000000615        0.119085017                0.000330486             VM
1594           1            0.000001081        0.209209496                0.000580601             VM
1           1            0.000001334        0.258166237                0.000716466             VM
1499           1            0.000001339        0.259239663                0.000719445             VM
36           1            0.000000842        0.163028788                0.000452439             VM
1430           1            0.000001607        0.311008528                0.000863114             VM
1437           1            0.000001652        0.319647661                0.000887090             VM
1376           1            0.000001757        0.340088355                0.000943817             VM
12066           1            0.000038242        7.401169002                0.020539807             VM
12060           1            0.000038474        7.446077242                0.020664437             VM
12064           1            0.000038330        7.418271780                0.020587271             VM
12058           1            0.000038479        7.447018290                0.020667048             VM
12055           1            0.000038642        7.478601902                0.020754700             VM
12061           1            0.000038460        7.443315488                0.020656772             VM
12052           1            0.000038741        7.497788551                0.020807947             VM
12053           1            0.000038948        7.537892079                0.020919242             VM
12062           1            0.000038340        7.420129289                0.020592426             VM
12065           1            0.000038360        7.424048106                0.020603301             VM
12057           1            0.000038484        7.448089806                0.020670022             VM
12059           1            0.000038431        7.437843759                0.020641587             VM
12054           1            0.000038640        7.478201108                0.020753587             VM
12056           1            0.000038473        7.445877224                0.020663882             VM
12063           1            0.000038192        7.391603668                0.020513261             VM
12067          3           0.000006790          0.790790000                0.002511865             FX


================================================Flexe======================================================

<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
36           1            0.000000842        0.163028788                0.000452439             VM
1330           2            0.000002922        0.141361791                0.000649395             VM
1298           2            0.000002811        0.136005028                0.000624787             VM
1372           1            0.000000777        0.150418457                0.000417443             VM
733          2           0.000001489          0.309270000                0.000845457             FX
1594           1            0.000001081        0.209209496                0.000580601             VM
753           2            0.000002493        0.120643719                0.000554219             VM
861          2           0.000001826          0.390270000                0.001060742             FX
1437          2           0.000001757          0.373780000                0.001016914             FX
26           2            0.000002409        0.116561783                0.000535468             VM
1329          3           0.000002204          0.240460000                0.000780128             FX
1516          3           0.000002626          0.291090000                0.000939446             FX
1577           2            0.000004254        0.205852028                0.000945654             VM
1638           2            0.000004167        0.201633550                0.000926275             VM
1531           1            0.000001317        0.254835840                0.000707223             VM
1315          2           0.000001497          0.311240000                0.000850693             FX
1356          4           0.000004202          0.240100000                0.001013757             FX
9           1            0.000000921        0.178175924                0.000494476             VM
1430           1            0.000001607        0.311008528                0.000863114             VM
1557          2           0.000001608          0.337860000                0.000921445             FX
1631           2            0.000004317        0.208873768                0.000959535             VM
1           2            0.000005258        0.254435757                0.001168840             VM
1530          3           0.000002826          0.315150000                0.001015157             FX
1499           2            0.000005341        0.258446807                0.001187267             VM
1327           2            0.000002386        0.115446165                0.000530343             VM
1573           2            0.000004425        0.214113000                0.000983604             VM
811          4           0.000005042          0.290530000                0.001221755             FX
1393          3           0.000003587          0.406460000                0.001302484             FX
1376           1            0.000001757        0.340088355                0.000943817             VM
1528          2           0.000001781          0.379520000                0.001032170             FX
12055           1            0.000038642        7.478601902                0.020754700             VM
12058          2           0.000043776          10.458273886                0.027819899             FX
12063           1            0.000038192        7.391603668                0.020513261             VM
12062          3           0.000073379          8.781413886                0.027656156             FX
12054           1            0.000038640        7.478201108                0.020753587             VM
12056           1            0.000038473        7.445877224                0.020663882             VM
12052          3           0.000073536          8.800333886                0.027715692             FX
12060           1            0.000038474        7.446077242                0.020664437             VM
12059           1            0.000038431        7.437843759                0.020641587             VM
12057          2           0.000043447          10.379213886                0.027609770             FX
12064           1            0.000038330        7.418271780                0.020587271             VM
12053           1            0.000038948        7.537892079                0.020919242             VM
12066          2           0.000042135          10.064493886                0.026773294             FX
12061           1            0.000038460        7.443315488                0.020656772             VM
12065           1            0.000038360        7.424048106                0.020603301             VM
12067          3           0.000006790          0.790790000                0.002511865             FX


============================================================================================================
