
Max Financial Cost: 0.023391

Max Runtime:        1352.274417

                          GRASP-VND            Flexe

Custo Financeiro Melhor:  0.003452           0.004457

Tempo Melhor:             665.518682           776.454115

Custo Normalizado Melhor: 0.319869           0.382357

Custo Normalizado Médio:  0.319869           0.394597

Tempo CPU Médio:          375.906448 	  

===============================================GRASP-VND===================================================

<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
823           1            0.000000713        0.137926637                0.000066232             VM
1313           1            0.000001137        0.219958407                0.000105623             VM
1345           1            0.000001125        0.217778900                0.000104577             VM
876           1            0.000000874        0.169197977                0.000081248             VM
863           1            0.000000791        0.152997243                0.000073469             VM
758           1            0.000001024        0.198173215                0.000095162             VM
35           1            0.000000808        0.156309475                0.000075059             VM
1304           1            0.000001119        0.216597462                0.000104009             VM
1290           1            0.000000792        0.153291979                0.000073610             VM
1348           1            0.000000736        0.142484325                0.000068421             VM
1395           1            0.000002170        0.419970565                0.000201669             VM
827           1            0.000001023        0.198036364                0.000095097             VM
1505           1            0.000001556        0.301066069                0.000144571             VM
864           1            0.000000795        0.153915309                0.000073910             VM
1516           1            0.000001371        0.265397923                0.000127443             VM
28           1            0.000000931        0.180199081                0.000086531             VM
1298           1            0.000000959        0.185552877                0.000089102             VM
826           1            0.000000804        0.155677648                0.000074756             VM
1615           1            0.000001114        0.215681588                0.000103570             VM
1315           1            0.000000822        0.159105962                0.000076402             VM
734           1            0.000000971        0.187859248                0.000090209             VM
1499           1            0.000001535        0.297052422                0.000142644             VM
877           1            0.000001020        0.197398257                0.000094790             VM
1360          3           0.000002919          0.326260000                0.000183027             FX
1624           1            0.000001206        0.233493409                0.000112123             VM
1299           1            0.000000834        0.161322183                0.000077466             VM
1609           1            0.000001182        0.228733307                0.000109837             VM
1296           1            0.000001237        0.239448685                0.000114983             VM
757           1            0.000000857        0.165936687                0.000079682             VM
873           1            0.000000936        0.181076270                0.000086952             VM
1610           1            0.000001193        0.230803577                0.000110831             VM
1546           1            0.000001480        0.286436515                0.000137546             VM
1616           1            0.000001580        0.305753489                0.000146822             VM
1500           1            0.000001444        0.279474548                0.000134203             VM
1611           1            0.000001232        0.238454597                0.000114505             VM
26           1            0.000001023        0.197961230                0.000095060             VM
36           1            0.000001011        0.195685288                0.000093968             VM
1295           1            0.000000911        0.176259551                0.000084639             VM
1359          3           0.000002085          0.226180000                0.000128195             FX
1346           1            0.000001170        0.226495191                0.000108762             VM
1626           1            0.000001178        0.228020140                0.000109495             VM
1596           1            0.000001133        0.219361582                0.000105337             VM
814           1            0.000000986        0.190877969                0.000091659             VM
1410           1            0.000001925        0.372559359                0.000178902             VM
1425           1            0.000001577        0.305193039                0.000146553             VM
1560           1            0.000001478        0.286091222                0.000137380             VM
1408           1            0.000001738        0.336459038                0.000161567             VM
1497           1            0.000001851        0.358178795                0.000171996             VM
1547           1            0.000001724        0.333717712                0.000160250             VM
38           1            0.000001052        0.203515149                0.000097727             VM
1629           1            0.000001211        0.234452910                0.000112584             VM
738           1            0.000001007        0.194981488                0.000093630             VM
1549           1            0.000001585        0.306836380                0.000147342             VM
1409          3           0.000002652          0.294210000                0.000165467             FX
860           1            0.000000892        0.172631792                0.000082897             VM
