
Max Financial Cost: 0.016668

Max Runtime:        1042.400070

                          GRASP-VND            Flexe

Custo Financeiro Melhor:  0.002586           0.006384

Tempo Melhor:             471.229214           471.040479

Custo Normalizado Melhor: 0.437216           0.448438

Custo Normalizado Médio:  0.437244           0.454934

Tempo CPU Médio:          226.249259 	  

===============================================GRASP-VND===================================================

<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
34           2            0.000002990        0.144698406                0.000140843             VM
2           2            0.000002914        0.140978434                0.000137222             VM
37           2            0.000003141        0.151986872                0.000147937             VM
28           2            0.000002947        0.142576126                0.000138777             VM
24           2            0.000003204        0.155053333                0.000150922             VM
9           2            0.000003145        0.152198777                0.000148144             VM
803          5           0.000007325          0.213760000                0.000216787             FX
25           2            0.000002772        0.134132473                0.000130559             VM
10           2            0.000002833        0.137099318                0.000133446             VM
30           2            0.000002710        0.131109051                0.000127616             VM
38           2            0.000003088        0.149416602                0.000145436             VM
731           2            0.000003174        0.153594167                0.000149502             VM
36           2            0.000002995        0.144923153                0.000141062             VM
39           2            0.000002994        0.144888765                0.000141028             VM
802          5           0.000008027          0.234800000                0.000238066             FX
804          5           0.000007988          0.233640000                0.000236893             FX
733           2            0.000002764        0.133759008                0.000130195             VM
27           2            0.000002721        0.131676029                0.000128168             VM
1           1            0.000001277        0.247150723                0.000229074             VM
739          5           0.000007872          0.230150000                0.000233363             FX
735           2            0.000003114        0.150684820                0.000146670             VM
29           2            0.000002821        0.136518037                0.000132881             VM
755          3           0.000002969          0.332280000                0.000311733             FX
757          3           0.000003077          0.345280000                0.000323905             FX
737          4           0.000004379          0.250720000                0.000241631             FX
754           1            0.000001852        0.358489858                0.000332269             VM
33           2            0.000002584        0.125014442                0.000121684             VM
40           2            0.000002681        0.129711973                0.000126256             VM
23           2            0.000003336        0.161393558                0.000157093             VM
806          5           0.000008465          0.247940000                0.000251355             FX
26           2            0.000002927        0.141609829                0.000137837             VM
758           1            0.000001660        0.321289378                0.000297790             VM
759          4           0.000005942          0.344490000                0.000331777             FX
738          5           0.000009241          0.271230000                0.000274909             FX
736          5           0.000008117          0.237520000                0.000240817             FX
734           2            0.000002996        0.144973892                0.000141111             VM
35           2            0.000003401        0.164550866                0.000160167             VM
732           2            0.000002790        0.134994231                0.000131397             VM
856           1            0.000001707        0.330309764                0.000306150             VM
854           1            0.000001747        0.338139296                0.000313407             VM
852           1            0.000001652        0.319766681                0.000296378             VM
740          5           0.000007601          0.222040000                0.000225161             FX
751          4           0.000006321          0.367270000                0.000353677             FX
805          5           0.000007714          0.225430000                0.000228589             FX
853           1            0.000001694        0.327873909                0.000303893             VM
756           1            0.000001855        0.358960902                0.000332706             VM
760           1            0.000001766        0.341794658                0.000316795             VM
855           1            0.000001685        0.326187472                0.000302330             VM
753          3           0.000003040          0.340800000                0.000319710             FX
752          4           0.000007327          0.427620000                0.000411695             FX
2523           1            0.000094276        18.245813685                0.016911288             VM
2515           1            0.000094455        18.280366722                0.016943314             VM
2514           1            0.000095072        18.399755401                0.017053970             VM
2506           1            0.000095294        18.442902816                0.017093962             VM
2522           1            0.000094309        18.252210345                0.016917217             VM
2517           1            0.000094395        18.268789995                0.016932584             VM
2508           1            0.000095188        18.422206525                0.017074779             VM
2510           1            0.000094846        18.356135553                0.017013541             VM
2513           1            0.000094760        18.339449919                0.016998076             VM
2526           1            0.000094393        18.268397267                0.016932220             VM
2507           1            0.000095373        18.458118528                0.017108065             VM
2516           1            0.000094907        18.367960947                0.017024501             VM
2519           1            0.000094290        18.248594766                0.016913866             VM
2518           1            0.000094339        18.257887963                0.016922479             VM
2512           1            0.000094758        18.339060043                0.016997714             VM
2525           1            0.000094312        18.252850011                0.016917810             VM
2503           1            0.000093832        18.159898889                0.016831657             VM
2504           1            0.000096395        18.655903588                0.017291383             VM
2505           1            0.000096417        18.660156928                0.017295326             VM
2521           1            0.000094337        18.257633916                0.016922244             VM
2511           1            0.000095597        18.501520001                0.017148292             VM
2520           1            0.000094324        18.255152082                0.016919943             VM
2527           1            0.000094312        18.252733379                0.016917702             VM
2524           1            0.000094333        18.256817828                0.016921487             VM
2509           1            0.000095319        18.447611834                0.017098326             VM
2528          4           0.000022680          1.348810000                0.001297286             FX


================================================Flexe======================================================

<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
25           1            0.000000784        0.151659194                0.000140567             VM
10           3            0.000011022        0.133320092                0.000154566             VM
40           3            0.000010043        0.121485348                0.000140845             VM
27           3            0.000010194        0.123311241                0.000142962             VM
24          3           0.000002133          0.232010000                0.000217844             FX
35           3            0.000011672        0.141187917                0.000163688             VM
2           1            0.000000820        0.158642960                0.000147040             VM
732           3            0.000010559        0.127723447                0.000148078             VM
34           1            0.000000815        0.157794215                0.000146253             VM
39           3            0.000011226        0.135791220                0.000157431             VM
37           4            0.000023386        0.141445839                0.000199061             VM
731          3           0.000002420          0.266420000                0.000250064             FX
38           2            0.000003088        0.149416602                0.000145436             VM
26          5           0.000009002          0.264050000                0.000267648             FX
734          3           0.000002431          0.267730000                0.000251291             FX
36           3            0.000010976        0.132766005                0.000153924             VM
30           3            0.000010483        0.126804359                0.000147012             VM
9           1            0.000000901        0.174316137                0.000161566             VM
23          5           0.000008542          0.250270000                0.000253711             FX
740          3           0.000002532          0.279800000                0.000262593             FX
757          3           0.000003077          0.345280000                0.000323905             FX
806           2            0.000006936        0.335600549                0.000326659             VM
1           2            0.000005040        0.243856047                0.000237359             VM
733           4            0.000019709        0.119207104                0.000167764             VM
804           1            0.000001688        0.326675361                0.000302782             VM
803          3           0.000002503          0.276360000                0.000259372             FX
760          3           0.000003177          0.357210000                0.000335076             FX
852          3           0.000003061          0.343340000                0.000322089             FX
735           2            0.000003114        0.150684820                0.000146670             VM
29          5           0.000007509          0.219280000                0.000222370             FX
739           1            0.000001891        0.365919972                0.000339156             VM
754           2            0.000007385        0.357344594                0.000347824             VM
856          4           0.000006273          0.364390000                0.000350908             FX
756          4           0.000006016          0.348970000                0.000336084             FX
802           2            0.000007004        0.338912235                0.000329882             VM
855           2            0.000006722        0.325276935                0.000316610             VM
28           1            0.000000882        0.170767054                0.000158277             VM
738          3           0.000003372          0.380690000                0.000357062             FX
737          5           0.000008961          0.262840000                0.000266424             FX
753          3           0.000003040          0.340800000                0.000319710             FX
759           1            0.000002011        0.389136006                0.000360674             VM
854           2            0.000006971        0.337282364                0.000328296             VM
751          3           0.000003357          0.378890000                0.000355376             FX
33           5            0.000078122        0.114885457                0.000339056             VM
758           1            0.000001660        0.321289378                0.000297790             VM
736          5           0.000008117          0.237520000                0.000240817             FX
853          3           0.000003091          0.346960000                0.000325478             FX
805          3           0.000003047          0.341610000                0.000320469             FX
755          3           0.000002969          0.332280000                0.000311733             FX
752          4           0.000007327          0.427620000                0.000411695             FX
2518           2            0.000373330        18.064075381                0.017582778             VM
2515           1            0.000094455        18.280366722                0.016943314             VM
2521           1            0.000094337        18.257633916                0.016922244             VM
2522           1            0.000094309        18.252210345                0.016917217             VM
2512           2            0.000374212        18.106745378                0.017624311             VM
2508           1            0.000095188        18.422206525                0.017074779             VM
2513           1            0.000094760        18.339449919                0.016998076             VM
2510           1            0.000094846        18.356135553                0.017013541             VM
2523           1            0.000094276        18.245813685                0.016911288             VM
2520           1            0.000094324        18.255152082                0.016919943             VM
2526           2            0.000373447        18.069746488                0.017588298             VM
2516          5           0.000644311          19.323279218                0.019543263             FX
2511           2            0.000376041        18.195221548                0.017710430             VM
2525           2            0.000373249        18.060150112                0.017578958             VM
2505           1            0.000096417        18.660156928                0.017295326             VM
2509           2            0.000375331        18.160905369                0.017677028             VM
2503           1            0.000093832        18.159898889                0.016831657             VM
2514           1            0.000095072        18.399755401                0.017053970             VM
2517           1            0.000094395        18.268789995                0.016932584             VM
2504           2            0.000377623        18.271783788                0.017784952             VM
2507           1            0.000095373        18.458118528                0.017108065             VM
2527           2            0.000373348        18.064941849                0.017583622             VM
2506           2            0.000375263        18.157595633                0.017673807             VM
2524           2            0.000373320        18.063561926                0.017582278             VM
2519           2            0.000373270        18.061151272                0.017579932             VM
2528          4           0.000022680          1.348810000                0.001297286             FX


============================================================================================================
