<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
002_T7_C5_D16_VM3.txt	 1	 0.013017588396924	 0.076308	 0.000005	 1.419511
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
39	 5	 0.000000073	 0.003423477	 0.000456843  VM
29	 5	 0.000000162	 0.007636514	 0.001019048  VM
1575	 1	 0.000001097	 0.430440000	 0.000000000  FX
1374	 1	 0.000002057	 0.891520000	 0.000000000  FX
11757	 5	 0.000000777	 0.036573283	 0.004880491  VM
11756	 5	 0.000000854	 0.040181464	 0.005361982  VM
11758	 5	 0.000000207	 0.009736083	 0.001299224  VM
========================================================================
002_T7_C5_D16_VM3.txt	 2	 0.012500344657354	 0.074590	 0.000006	 1.675945
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
29	 5	 0.000000162	 0.007636514	 0.001019048  VM
1374	 1	 0.000002057	 0.891520000	 0.000000000  FX
39	 5	 0.000000073	 0.003423477	 0.000456843  VM
1575	 5	 0.000000125	 0.005859977	 0.000781980  VM
11756	 5	 0.000000854	 0.040181464	 0.005361982  VM
11757	 5	 0.000000777	 0.036573283	 0.004880491  VM
11758	 1	 0.000001639	 0.690750000	 0.000000000  FX
========================================================================
002_T7_C5_D16_VM3.txt	 3	 0.012500344657354	 0.074105	 0.000006	 1.675945
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
29	 5	 0.000000162	 0.007636514	 0.001019048  VM
39	 5	 0.000000073	 0.003423477	 0.000456843  VM
1374	 1	 0.000002057	 0.891520000	 0.000000000  FX
1575	 5	 0.000000125	 0.005859977	 0.000781980  VM
11756	 5	 0.000000854	 0.040181464	 0.005361982  VM
11757	 5	 0.000000777	 0.036573283	 0.004880491  VM
11758	 1	 0.000001639	 0.690750000	 0.000000000  FX
========================================================================
002_T7_C5_D16_VM3.txt	 4	 0.012500344657354	 0.074595	 0.000006	 1.675945
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
29	 5	 0.000000162	 0.007636514	 0.001019048  VM
39	 5	 0.000000073	 0.003423477	 0.000456843  VM
1575	 5	 0.000000125	 0.005859977	 0.000781980  VM
1374	 1	 0.000002057	 0.891520000	 0.000000000  FX
11757	 5	 0.000000777	 0.036573283	 0.004880491  VM
11756	 5	 0.000000854	 0.040181464	 0.005361982  VM
11758	 1	 0.000001639	 0.690750000	 0.000000000  FX
========================================================================
002_T7_C5_D16_VM3.txt	 5	 0.012500344657354	 0.075363	 0.000006	 1.675945
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
29	 5	 0.000000162	 0.007636514	 0.001019048  VM
39	 5	 0.000000073	 0.003423477	 0.000456843  VM
1575	 5	 0.000000125	 0.005859977	 0.000781980  VM
1374	 1	 0.000002057	 0.891520000	 0.000000000  FX
11756	 5	 0.000000854	 0.040181464	 0.005361982  VM
11757	 5	 0.000000777	 0.036573283	 0.004880491  VM
11758	 1	 0.000001639	 0.690750000	 0.000000000  FX
========================================================================
002_T7_C5_D16_VM3.txt	 6	 0.013799568218511	 0.074170	 0.000004	 0.994931
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
39	 5	 0.000000073	 0.003423477	 0.000456843  VM
1575	 5	 0.000000125	 0.005859977	 0.000781980  VM
29	 5	 0.000000162	 0.007636514	 0.001019048  VM
