<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
045_T136_C5_D311_VM3.txt	 1	 0.524856489153068	 592.374163	 0.005387	 1001.531011
<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
1330           2            0.000002572        0.124466978                0.000067896             VM
871           2            0.000002569        0.124288042                0.000067799             VM
1370           2            0.000002895        0.140059628                0.000076402             VM
858           2            0.000002826        0.136762437                0.000074603             VM
808           2            0.000002803        0.135629709                0.000073986             VM
1354           2            0.000004003        0.193704346                0.000105665             VM
1406           2            0.000002597        0.125677252                0.000068557             VM
733           2            0.000002818        0.136366703                0.000074388             VM
863           2            0.000002757        0.133401907                0.000072770             VM
1339           2            0.000003112        0.150593417                0.000082148             VM
753           2            0.000002950        0.142730153                0.000077859             VM
1296           2            0.000002960        0.143201597                0.000078116             VM
874           2            0.000002689        0.130099311                0.000070969             VM
1345           2            0.000002871        0.138918688                0.000075780             VM
813           2            0.000002603        0.125925689                0.000068692             VM
36           2            0.000002477        0.119837058                0.000065371             VM
1342           2            0.000002622        0.126869193                0.000069207             VM
1398           2            0.000002698        0.130523128                0.000071200             VM
1409           2            0.000002607        0.126149471                0.000068814             VM
1437          5           0.000007371          0.215130000                0.000121455             FX
864           2            0.000002574        0.124540780                0.000067937             VM
1313           2            0.000003026        0.146423166                0.000079873             VM
1341           2            0.000002563        0.124016154                0.000067650             VM
1367           2            0.000002924        0.141472990                0.000077173             VM
1315           2            0.000002816        0.136245374                0.000074321             VM
1331           2            0.000002602        0.125916215                0.000068687             VM
739           2            0.000002660        0.128696678                0.000070204             VM
1361           3            0.000010582        0.128004521                0.000080958             VM
1615           1            0.000001157        0.223868035                0.000117253             VM
1351           2            0.000002499        0.120916689                0.000065960             VM
1627           1            0.000001137        0.220021856                0.000115238             VM
1573           1            0.000001056        0.204404913                0.000107059             VM
821           2            0.000002975        0.143929250                0.000078513             VM
740           2            0.000002693        0.130287824                0.000071072             VM
1389           2            0.000002480        0.120005331                0.000065462             VM
1434          5           0.000007450          0.217500000                0.000122790             FX
