<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
025_T76_C5_D220_VM3.txt	 1	 0.008563388723985	 90.960264	 0.001572	 438.491141
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
38	 5	 0.000000080	 0.003780569	 0.000004760  VM
27	 1	 0.000001968	 0.848560000	 0.000000000  FX
23	 5	 0.000000091	 0.004273687	 0.000005381  VM
2	 2	 0.000001984	 0.428140000	 0.000000000  FX
732	 1	 0.000001448	 0.599220000	 0.000000000  FX
34	 1	 0.000001793	 0.764650000	 0.000000000  FX
734	 5	 0.000000084	 0.003948296	 0.000004972  VM
731	 1	 0.000001851	 0.792700000	 0.000000000  FX
1	 1	 0.000002197	 0.958470000	 0.000000000  FX
733	 2	 0.000001538	 0.321130000	 0.000000000  FX
39	 1	 0.000001721	 0.729890000	 0.000000000  FX
37	 1	 0.000002280	 0.998620000	 0.000000000  FX
24	 5	 0.000000082	 0.003867320	 0.000004870  VM
805	 5	 0.000000214	 0.010058628	 0.000012665  VM
30	 1	 0.000002561	 1.133160000	 0.000000000  FX
803	 1	 0.000001766	 0.751680000	 0.000000000  FX
751	 2	 0.000001980	 0.427190000	 0.000000000  FX
9	 1	 0.000001960	 0.844910000	 0.000000000  FX
25	 1	 0.000002487	 1.097690000	 0.000000000  FX
740	 1	 0.000001846	 0.790120000	 0.000000000  FX
852	 1	 0.000001589	 0.666540000	 0.000000000  FX
26	 1	 0.000002807	 1.251390000	 0.000000000  FX
855	 2	 0.000001952	 0.420480000	 0.000000000  FX
853	 1	 0.000001591	 0.667630000	 0.000000000  FX
752	 1	 0.000002154	 0.937890000	 0.000000000  FX
736	 5	 0.000000238	 0.011222206	 0.000014130  VM
28	 5	 0.000000077	 0.003629598	 0.000004570  VM
10	 2	 0.000002428	 0.534670000	 0.000000000  FX
757	 2	 0.000001828	 0.390610000	 0.000000000  FX
35	 5	 0.000000080	 0.003773292	 0.000004751  VM
854	 2	 0.000002275	 0.497920000	 0.000000000  FX
29	 1	 0.000001848	 0.790850000	 0.000000000  FX
754	 2	 0.000002131	 0.463460000	 0.000000000  FX
738	 1	 0.000002637	 1.169900000	 0.000000000  FX
33	 5	 0.000000076	 0.003590171	 0.000004521  VM
36	 2	 0.000002603	 0.576750000	 0.000000000  FX
755	 1	 0.000001647	 0.694540000	 0.000000000  FX
735	 5	 0.000000082	 0.003843739	 0.000004840  VM
737	 5	 0.000000302	 0.014220946	 0.000017906  VM
758	 1	 0.000001547	 0.646470000	 0.000000000  FX
759	 2	 0.000001854	 0.397000000	 0.000000000  FX
804	 1	 0.000001961	 0.845470000	 0.000000000  FX
856	 2	 0.000001901	 0.408190000	 0.000000000  FX
40	 5	 0.000000076	 0.003571470	 0.000004497  VM
739	 2	 0.000001922	 0.413340000	 0.000000000  FX
756	 5	 0.000000237	 0.011155652	 0.000014047  VM
802	 1	 0.000001852	 0.792900000	 0.000000000  FX
760	 5	 0.000000226	 0.010628185	 0.000013383  VM
753	 1	 0.000001548	 0.647080000	 0.000000000  FX
806	 1	 0.000002683	 1.192020000	 0.000000000  FX
2527	 2	 0.000109929	 26.334789218	 0.000000000  FX
2514	 5	 0.000011879	 0.559009791	 0.000703879  VM
2522	 5	 0.000011874	 0.558785166	 0.000703596  VM
2526	 5	 0.000011876	 0.558859731	 0.000703690  VM
2503	 2	 0.000104222	 24.965309218	 0.000000000  FX
2505	 5	 0.000011895	 0.559781581	 0.000704851  VM
2511	 5	 0.000011892	 0.559627086	 0.000704656  VM
2523	 2	 0.000110675	 26.513989218	 0.000000000  FX
2517	 5	 0.000011876	 0.558864451	 0.000703696  VM
2513	 2	 0.000115499	 27.671669218	 0.000000000  FX
2509	 1	 0.000088509	 42.388289218	 0.000000000  FX
2518	 2	 0.000110158	 26.389959218	 0.000000000  FX
2515	 1	 0.000079409	 38.020039218	 0.000000000  FX
2512	 5	 0.000011879	 0.559029699	 0.000703904  VM
2519	 1	 0.000078497	 37.582569218	 0.000000000  FX
2506	 2	 0.000121251	 29.052109218	 0.000000000  FX
2516	 5	 0.000011877	 0.558933421	 0.000703783  VM
2524	 5	 0.000011875	 0.558824516	 0.000703646  VM
2508	 5	 0.000011880	 0.559037107	 0.000703913  VM
2521	 2	 0.000111385	 26.684459218	 0.000000000  FX
2525	 2	 0.000111434	 26.696039218	 0.000000000  FX
2520	 5	 0.000011876	 0.558855331	 0.000703684  VM
2507	 2	 0.000122131	 29.263359218	 0.000000000  FX
2510	 1	 0.000083542	 40.004309218	 0.000000000  FX
2504	 5	 0.000011894	 0.559739734	 0.000704798  VM
2528	 1	 0.000009017	 4.232110000	 0.000000000  FX
========================================================================
