<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
015_T46_C5_D108_VM3.txt	 1	 -1718352444396099521591087274278031652407199278302380875823181316096128161484810223616.000000000000000	 14.017534	 0.000406	 -9097608915636896446418189845921593795779198216415175078254130305269117149674350812594176.000000
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
7004	 1	 0.000032659	 15.580177913	 0.000000000  FX
7013	 2	 0.000045118	 10.780207913	 0.000000000  FX
7014	 2	 0.000044843	 10.714227913	 0.000000000  FX
7007	 2	 0.000046085	 11.012487913	 0.000000000  FX
7002	 2	 0.000049932	 11.935657913	 0.000000000  FX
7009	 5	 0.000005130	 0.241408474	 0.001142121  VM
7005	 5	 0.000005126	 0.241209963	 0.001141182  VM
7015	 2	 0.000005716	 1.323930000	 0.000000000  FX
========================================================================
015_T46_C5_D108_VM3.txt	 3	 -1772273777119927697800296911252394308886976925664308339743221294262371166267365130240.000000000000000	 13.555220	 0.000448	 -9383088881595639555210348028269441146235452562253769932080414185464485836631161488539648.000000
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
40	 5	 0.000000000	 -3590431947165943671991295095916759927123497542034943640988184102397403932674900268941312.000000000	 -678159236131390658389743143721496938254084299863897390087344691081150853774590345216.000000000  VM
1333	 5	 0.000000000	 -1106333039226131992338676059247019553126596308244125164279746273605478735049386692182016.000000000	 -208963706826619701114645519910707443817339943476629865786386539044645840907449401344.000000000  VM
824	 5	 0.000000000	 -4686323895203564332592143067701744061809733897704330083683458028366342699308424850571264.000000000	 -885150834161917473095641583373388900150628117421934452055212176839436877103376629760.000000000  VM
1569	 1	 0.000001230	 0.494560000	 0.000000000  FX
1613	 1	 0.000001089	 0.426620000	 0.000000000  FX
38	 1	 0.000002345	 1.029700000	 0.000695779  FX
732	 1	 0.000001445	 0.597630000	 0.000000000  FX
756	 1	 0.000001379	 0.566080000	 0.000000000  FX
1424	 1	 0.000001199	 0.479370000	 0.000000000  FX
752	 1	 0.000001510	 0.628600000	 0.000000000  FX
