<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
020_T61_C5_D180_VM3.txt	 1	 0.408567805730712	 0.367284	 0.002673	 387.518021
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
10	 1	 0.000000712	 0.137831658	 0.000134801  VM
2	 1	 0.000000840	 0.162599550	 0.000159024  VM
1	 2	 0.000005047	 0.244193455	 0.000405738  VM
28	 2	 0.000003124	 0.151167551	 0.000251171  VM
734	 3	 0.000002530	 0.279650000	 0.000321369  FX
23	 1	 0.000001028	 0.199015014	 0.000194639  VM
39	 1	 0.000000765	 0.148093796	 0.000144837  VM
27	 4	 0.000004337	 0.248190000	 0.000377415  FX
731	 4	 0.000004353	 0.249160000	 0.000378856  FX
34	 3	 0.000003725	 0.423010000	 0.000481594  FX
24	 2	 0.000001285	 0.260450000	 0.000252054  FX
740	 2	 0.000001771	 0.377100000	 0.000360993  FX
40	 3	 0.000003649	 0.413920000	 0.000471435  FX
29	 1	 0.000000775	 0.150075050	 0.000146775  VM
25	 1	 0.000000838	 0.162099279	 0.000158535  VM
736	 1	 0.000002091	 0.404765086	 0.000395865  VM
737	 4	 0.000004849	 0.278960000	 0.000423113  FX
30	 1	 0.000000716	 0.138571231	 0.000135524  VM
732	 4	 0.000003919	 0.223110000	 0.000340168  FX
36	 1	 0.000000850	 0.164471600	 0.000160855  VM
739	 4	 0.000004313	 0.246790000	 0.000375336  FX
756	 1	 0.000001343	 0.548570000	 0.000470730  FX
752	 1	 0.000002246	 0.434589735	 0.000425034  VM
760	 2	 0.000006260	 0.302922167	 0.000503318  VM
33	 3	 0.000003828	 0.435390000	 0.000495431  FX
753	 3	 0.000003077	 0.345280000	 0.000394720  FX
26	 1	 0.000000857	 0.165774424	 0.000162129  VM
751	 2	 0.000002230	 0.487130000	 0.000463750  FX
738	 1	 0.000002057	 0.398032275	 0.000389280  VM
9	 2	 0.000002261	 0.494650000	 0.000470773  FX
735	 4	 0.000005846	 0.338760000	 0.000511924  FX
754	 3	 0.000003292	 0.371050000	 0.000423521  FX
38	 2	 0.000002997	 0.145037948	 0.000240987  VM
37	 1	 0.000000774	 0.149865527	 0.000146570  VM
758	 3	 0.000003137	 0.352420000	 0.000402700  FX
759	 1	 0.000001601	 0.309845956	 0.000303033  VM
733	 1	 0.000002020	 0.390979515	 0.000382382  VM
757	 2	 0.000002003	 0.432630000	 0.000412852  FX
35	 2	 0.000002329	 0.510890000	 0.000485939  FX
755	 2	 0.000001746	 0.371070000	 0.000355361  FX
769	 1	 0.000079151	 15.318610291	 0.014981777  VM
780	 4	 0.000278987	 16.727172841	 0.024850917  FX
774	 2	 0.000099843	 23.914342841	 0.022342386  FX
762	 3	 0.000169958	 20.370922841	 0.022776253  FX
766	 3	 0.000163788	 19.630482841	 0.021948705  FX
776	 1	 0.000078174	 15.129485440	 0.014796811  VM
764	 3	 0.000163031	 19.539732841	 0.021847279  FX
761	 4	 0.000271167	 16.257962841	 0.024154077  FX
763	 1	 0.000079852	 15.454286812	 0.015114470  VM
778	 2	 0.000094954	 22.740882841	 0.021246493  FX
768	 2	 0.000099100	 23.735992841	 0.022175825  FX
770	 3	 0.000158916	 19.045822841	 0.021295263  FX
767	 1	 0.000078990	 15.287443190	 0.014951295  VM
765	 1	 0.000079061	 15.301079576	 0.014964632  VM
775	 3	 0.000156755	 18.786522841	 0.021005458  FX
773	 1	 0.000078236	 15.141396104	 0.014808459  VM
771	 3	 0.000158892	 19.042942841	 0.021292044  FX
772	 2	 0.000101567	 24.328112841	 0.022728805  FX
779	 2	 0.000095539	 22.881302841	 0.021377631  FX
777	 1	 0.000078163	 15.127251558	 0.014794626  VM
781	 2	 0.000007317	 1.708160000	 0.001604068  FX
========================================================================
