<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
002_T7_C5_D18_VM3.txt	 1	 0.387150406837463	 0.150347	 0.000025	 4.332807
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
1	 1	 0.000001108	 0.214443322	 0.018559696  VM
9	 1	 0.000001581	 0.305914694	 0.026476384  VM
2	 4	 0.000002984	 0.144391020	 0.024650341  VM
10	 1	 0.000002306	 0.446277720	 0.038624559  VM
12	 1	 0.000007426	 1.437177147	 0.124385179  VM
11	 1	 0.000007834	 1.516072067	 0.131213397  VM
13	 1	 0.000001387	 0.268530640	 0.023240859  VM
========================================================================
002_T7_C5_D18_VM3.txt	 2	 0.374001562595367	 0.149129	 0.000023	 4.268236
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
1	 1	 0.000001108	 0.214443322	 0.018559696  VM
9	 1	 0.000001581	 0.305914694	 0.026476384  VM
2	 1	 0.000000746	 0.144391020	 0.012496791  VM
10	 1	 0.000002306	 0.446277720	 0.038624559  VM
11	 1	 0.000007834	 1.516072067	 0.131213397  VM
12	 1	 0.000007426	 1.437177147	 0.124385179  VM
13	 3	 0.000001900	 0.203960000	 0.022245568  FX
========================================================================
002_T7_C5_D18_VM3.txt	 3	 0.384238809347153	 0.149619	 0.000025	 4.247806
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
1	 1	 0.000001108	 0.214443322	 0.018559696  VM
2	 2	 0.000001492	 0.144391020	 0.016547942  VM
9	 1	 0.000001581	 0.305914694	 0.026476384  VM
10	 1	 0.000002306	 0.446277720	 0.038624559  VM
11	 1	 0.000007834	 1.516072067	 0.131213397  VM
12	 1	 0.000007426	 1.437177147	 0.124385179  VM
13	 4	 0.000003259	 0.183530000	 0.028431645  FX
========================================================================
002_T7_C5_D18_VM3.txt	 4	 0.379048019647598	 0.152741	 0.000023	 4.332807
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
1	 1	 0.000001108	 0.214443322	 0.018559696  VM
2	 2	 0.000001492	 0.144391020	 0.016547942  VM
9	 1	 0.000001581	 0.305914694	 0.026476384  VM
10	 1	 0.000002306	 0.446277720	 0.038624559  VM
12	 1	 0.000007426	 1.437177147	 0.124385179  VM
11	 1	 0.000007834	 1.516072067	 0.131213397  VM
13	 1	 0.000001387	 0.268530640	 0.023240859  VM
========================================================================
002_T7_C5_D18_VM3.txt	 5	 0.379048019647598	 0.152875	 0.000023	 4.332807
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
1	 1	 0.000001108	 0.214443322	 0.018559696  VM
9	 1	 0.000001581	 0.305914694	 0.026476384  VM
2	 2	 0.000001492	 0.144391020	 0.016547942  VM
10	 1	 0.000002306	 0.446277720	 0.038624559  VM
12	 1	 0.000007426	 1.437177147	 0.124385179  VM
11	 1	 0.000007834	 1.516072067	 0.131213397  VM
13	 1	 0.000001387	 0.268530640	 0.023240859  VM
========================================================================
002_T7_C5_D18_VM3.txt	 6	 0.390567868947983	 0.152674	 0.000025	 4.342328
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
2	 2	 0.000001492	 0.144391020	 0.016547942  VM
1	 1	 0.000001108	 0.214443322	 0.018559696  VM
9	 1	 0.000001581	 0.305914694	 0.026476384  VM
10	 2	 0.000002453	 0.540800000	 0.044953621  FX
12	 1	 0.000007426	 1.437177147	 0.124385179  VM
11	 1	 0.000007834	 1.516072067	 0.131213397  VM
13	 4	 0.000003259	 0.183530000	 0.028431645  FX
========================================================================
002_T7_C5_D18_VM3.txt	 7	 0.374996870756149	 0.151679	 0.000022	 4.332807
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
2	 1	 0.000000746	 0.144391020	 0.012496791  VM
1	 1	 0.000001108	 0.214443322	 0.018559696  VM
9	 1	 0.000001581	 0.305914694	 0.026476384  VM
10	 1	 0.000002306	 0.446277720	 0.038624559  VM
12	 1	 0.000007426	 1.437177147	 0.124385179  VM
11	 1	 0.000007834	 1.516072067	 0.131213397  VM
13	 1	 0.000001387	 0.268530640	 0.023240859  VM
========================================================================
002_T7_C5_D18_VM3.txt	 8	 0.381325930356979	 0.151132	 0.000023	 4.427329
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
1	 1	 0.000001108	 0.214443322	 0.018559696  VM
2	 1	 0.000000746	 0.144391020	 0.012496791  VM
9	 1	 0.000001581	 0.305914694	 0.026476384  VM
10	 2	 0.000002453	 0.540800000	 0.044953621  FX
12	 1	 0.000007426	 1.437177147	 0.124385179  VM
11	 1	 0.000007834	 1.516072067	 0.131213397  VM
13	 1	 0.000001387	 0.268530640	 0.023240859  VM
========================================================================
002_T7_C5_D18_VM3.txt	 9	 0.380330622196198	 0.153778	 0.000023	 4.362758
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
2	 1	 0.000000746	 0.144391020	 0.012496791  VM
1	 1	 0.000001108	 0.214443322	 0.018559696  VM
9	 1	 0.000001581	 0.305914694	 0.026476384  VM
10	 2	 0.000002453	 0.540800000	 0.044953621  FX
12	 1	 0.000007426	 1.437177147	 0.124385179  VM
11	 1	 0.000007834	 1.516072067	 0.131213397  VM
13	 3	 0.000001900	 0.203960000	 0.022245568  FX
========================================================================
002_T7_C5_D18_VM3.txt	 10	 0.387150406837463	 0.149271	 0.000025	 4.332807
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
2	 4	 0.000002984	 0.144391020	 0.024650341  VM
1	 1	 0.000001108	 0.214443322	 0.018559696  VM
10	 1	 0.000002306	 0.446277720	 0.038624559  VM
9	 1	 0.000001581	 0.305914694	 0.026476384  VM
11	 1	 0.000007834	 1.516072067	 0.131213397  VM
12	 1	 0.000007426	 1.437177147	 0.124385179  VM
13	 1	 0.000001387	 0.268530640	 0.023240859  VM
========================================================================
