<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
040_T121_C5_D275_VM3.txt	 1	 0.426984435052007	 2.693577	 0.005701	 989.497188
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
8985	 3	 0.000187639	 22.492603775	 0.010741734  FX
8957	 1	 0.000099793	 19.313559409	 0.008129064  VM
8963	 1	 0.000099431	 19.243508941	 0.008099579  VM
8959	 1	 0.000099404	 19.238234620	 0.008097359  VM
8967	 2	 0.000112808	 27.025953775	 0.010896289  FX
8951	 3	 0.000194098	 23.267713775	 0.011111779  FX
8975	 1	 0.000099095	 19.178460255	 0.008072200  VM
8983	 3	 0.000187743	 22.505173775	 0.010747735  FX
8978	 3	 0.000187495	 22.475383775	 0.010733513  FX
8976	 4	 0.000347414	 20.832773775	 0.013047654  FX
8973	 3	 0.000191963	 23.011503775	 0.010989462  FX
8971	 2	 0.000112814	 27.027403775	 0.010896874  FX
8980	 1	 0.000073771	 35.313793775	 0.012923672  FX
8961	 2	 0.000113284	 27.140223775	 0.010942345  FX
8952	 2	 0.000116196	 27.838963775	 0.011223970  FX
8965	 1	 0.000099437	 19.244715609	 0.008100087  VM
8966	 1	 0.000099454	 19.247913556	 0.008101433  VM
8962	 2	 0.000112854	 27.037023775	 0.010900751  FX
8977	 1	 0.000099151	 19.189262234	 0.008076747  VM
8990	 2	 0.000010058	 2.365830000	 0.000957109  FX
========================================================================
