
Max Financial Cost: 0.046067

Max Runtime:        2475.319148

                          GRASP-VND            Flexe

Custo Financeiro Melhor:  0.006931           0.019396

Tempo Melhor:             1297.081880           1323.307133

Custo Normalizado Melhor: 0.505328           0.528922

Custo Normalizado Médio:  0.505329           0.531058

Tempo CPU Médio:          842.821330 	  

===============================================GRASP-VND===================================================

<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
1293           2            0.000002556        0.123694361                0.000050247             VM
753           1            0.000000610        0.118095203                0.000045986             VM
1319           2            0.000002768        0.133925409                0.000054403             VM
1298           2            0.000003096        0.149814916                0.000060858             VM
1343           2            0.000002324        0.112463661                0.000045685             VM
815           2            0.000002388        0.115538907                0.000046934             VM
1350           2            0.000002546        0.123184378                0.000050040             VM
1322           2            0.000003807        0.184193528                0.000074823             VM
1365           2            0.000002823        0.136571556                0.000055478             VM
1304           2            0.000002567        0.124218337                0.000050460             VM
867           2            0.000002764        0.133746963                0.000054331             VM
1356           1            0.000000611        0.118335081                0.000046079             VM
872           2            0.000003030        0.146628582                0.000059564             VM
733           2            0.000002849        0.137863648                0.000056003             VM
853           2            0.000002831        0.136967280                0.000055639             VM
1305           2            0.000002982        0.144293833                0.000058615             VM
23           2            0.000002436        0.117861490                0.000047878             VM
10           2            0.000002831        0.136969968                0.000055640             VM
9           2            0.000002725        0.131839198                0.000053556             VM
821           2            0.000002604        0.125997071                0.000051183             VM
33           2            0.000002596        0.125630799                0.000051034             VM
1353           2            0.000003035        0.146868207                0.000059661             VM
1360           2            0.000002875        0.139103193                0.000056507             VM
1371           2            0.000003204        0.155052466                0.000062985             VM
1634           1            0.000001180        0.228362294                0.000088924             VM
1314           2            0.000002523        0.122085679                0.000049594             VM
1330           1            0.000000713        0.138084293                0.000053770             VM
26           2            0.000002749        0.133022924                0.000054037             VM
1425          4           0.000004082          0.232940000                0.000093831             FX
1523           1            0.000001374        0.265831660                0.000103514             VM
1362           2            0.000003221        0.155841973                0.000063306             VM
1358           2            0.000003240        0.156755195                0.000063677             VM
858           2            0.000003100        0.150009910                0.000060937             VM
852           2            0.000002743        0.132704824                0.000053907             VM
1599           1            0.000001339        0.259074303                0.000100883             VM
1317           2            0.000002924        0.141468561                0.000057467             VM
1303           2            0.000002610        0.126301072                0.000051306             VM
817           2            0.000002471        0.119576549                0.000048574             VM
1612           1            0.000001232        0.238516059                0.000092877             VM
822           2            0.000002694        0.130331939                0.000052943             VM
36           2            0.000002697        0.130501206                0.000053012             VM
1506           1            0.000001496        0.289586075                0.000112764             VM
1540           1            0.000001366        0.264460706                0.000102980             VM
803           2            0.000002686        0.129941952                0.000052785             VM
1434          4           0.000004427          0.253640000                0.000102150             FX
