
Max Financial Cost: 0.046067

Max Runtime:        2475.319148

                          GRASP-VND            Flexe

Custo Financeiro Melhor:  0.006725           0.007928

Tempo Melhor:             1298.734443           1591.901836

Custo Normalizado Melhor: 0.335330           0.407604

Custo Normalizado Médio:  0.335330           0.412726

Tempo CPU Médio:          1273.841301 	  

===============================================GRASP-VND===================================================

<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
2           1            0.000000733        0.141926584                0.000036628             VM
733           1            0.000000804        0.155630885                0.000040164             VM
1360           1            0.000000852        0.164911652                0.000042560             VM
803           1            0.000000765        0.148040058                0.000038205             VM
9           1            0.000000773        0.149582281                0.000038603             VM
1305           1            0.000000897        0.173557276                0.000044791             VM
1319           1            0.000000729        0.141002473                0.000036389             VM
1298           1            0.000000929        0.179854016                0.000046416             VM
1371           1            0.000000981        0.189897015                0.000049008             VM
1353           1            0.000000901        0.174372041                0.000045001             VM
1634           1            0.000001180        0.228362294                0.000058935             VM
1342           1            0.000000838        0.162162429                0.000041850             VM
1540           1            0.000001366        0.264460706                0.000068251             VM
1333           1            0.000000657        0.127137426                0.000032811             VM
1293           1            0.000000721        0.139545703                0.000036013             VM
33           1            0.000000709        0.137127787                0.000035389             VM
1434           1            0.000001710        0.330907579                0.000085399             VM
1614           1            0.000001184        0.229109866                0.000059128             VM
1622           1            0.000001194        0.231064538                0.000059632             VM
808           1            0.000000861        0.166590266                0.000042993             VM
1409          3           0.000002627          0.291230000                0.000087339             FX
1362           1            0.000000999        0.193292389                0.000049884             VM
867           1            0.000000749        0.145004905                0.000037422             VM
1304           1            0.000000693        0.134183502                0.000034629             VM
865           1            0.000000659        0.127532003                0.000032913             VM
1376           1            0.000000817        0.158202286                0.000040828             VM
817           1            0.000000659        0.127616070                0.000032935             VM
753           1            0.000000610        0.118095203                0.000030477             VM
1350           1            0.000000722        0.139790751                0.000036077             VM
1338           1            0.000000750        0.145152091                0.000037460             VM
1635           1            0.000001372        0.265469640                0.000068511             VM
872           1            0.000000853        0.165149637                0.000042621             VM
852           1            0.000000785        0.151842904                0.000039187             VM
23           1            0.000000653        0.126447811                0.000032633             VM
1425          4           0.000004082          0.232940000                0.000091361             FX
1314           1            0.000000709        0.137237888                0.000035418             VM
1365           1            0.000000828        0.160205379                0.000041345             VM
1626           1            0.000001268        0.245412260                0.000063335             VM
1554           1            0.000001779        0.344363812                0.000088872             VM
1548           1            0.000001347        0.260691590                0.000067278             VM
1303           1            0.000000748        0.144697353                0.000037343             VM
1514           1            0.000001535        0.297172311                0.000076693             VM
1624           1            0.000001156        0.223748027                0.000057744             VM
815           1            0.000000624        0.120844981                0.000031187             VM
1317           1            0.000000789        0.152717127                0.000039413             VM
822           1            0.000000734        0.142147004                0.000036685             VM
853           1            0.000000803        0.155425264                0.000040111             VM
1343           1            0.000000632        0.122405775                0.000031590             VM
1599           1            0.000001339        0.259074303                0.000066861             VM
1523           1            0.000001374        0.265831660                0.000068605             VM
1423           1            0.000001653        0.319879319                0.000082553             VM
1494           1            0.000001505        0.291247851                0.000075164             VM
1539           1            0.000001416        0.274035012                0.000070722             VM
1583           1            0.000001181        0.228658024                0.000059011             VM
1356           1            0.000000611        0.118335081                0.000030539             VM
1339           1            0.000000820        0.158738533                0.000040966             VM
1543           1            0.000001412        0.273322713                0.000070538             VM
1499           1            0.000001860        0.359966553                0.000092898             VM
1398          3           0.000002253          0.246340000                0.000074211             FX
1577           1            0.000001163        0.225065404                0.000058084             VM
1358           1            0.000001035        0.200313355                0.000051696             VM
858           1            0.000000926        0.179191035                0.000046245             VM
871           1            0.000000916        0.177233116                0.000045739             VM
1572           1            0.000001537        0.297541350                0.000076788             VM
1322           1            0.000001020        0.197468253                0.000050962             VM
1515           1            0.000001380        0.266984806                0.000068902             VM
1612           1            0.000001232        0.238516059                0.000061555             VM
