<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
010_T31_C5_D97_VM3.txt	 1	 0.474536810039588	 0.047596	 0.001794	 96.182213
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_Normalizado>
10	 2	 0.000002537	 0.122773549	 0.000609496  VM
2	 2	 0.000002880	 0.139341423	 0.000691746  VM
24	 1	 0.000000990	 0.191598980	 0.000906081  VM
26	 1	 0.000000833	 0.161277349	 0.000762688  VM
25	 4	 0.000020060	 0.121328885	 0.000868828  VM
28	 3	 0.000010452	 0.126426811	 0.000746658  VM
23	 2	 0.000002764	 0.133717581	 0.000663827  VM
9	 5	 0.000011132	 0.327970000	 0.001694284  FX
34	 3	 0.000003605	 0.408630000	 0.001955113  FX
38	 4	 0.000007108	 0.414480000	 0.002035503  FX
1	 4	 0.000004791	 0.275440000	 0.001353699  FX
27	 2	 0.000001835	 0.392380000	 0.001852661  FX
40	 3	 0.000003800	 0.431980000	 0.002066659  FX
29	 4	 0.000004504	 0.258250000	 0.001269405  FX
30	 4	 0.000004803	 0.276200000	 0.001357426  FX
33	 4	 0.000007067	 0.412010000	 0.002023391  FX
36	 3	 0.000003804	 0.432430000	 0.002068809  FX
39	 1	 0.000002015	 0.390067289	 0.001844647  VM
35	 1	 0.000002184	 0.422777002	 0.001999333  VM
37	 3	 0.000003975	 0.453030000	 0.002167217  FX
45	 2	 0.000173727	 8.405998163	 0.041730678  VM
44	 4	 0.000158315	 9.486853328	 0.046523285  FX
42	 2	 0.000174797	 8.457775449	 0.041987721  VM
48	 4	 0.000160506	 9.618333328	 0.047168017  FX
46	 4	 0.000159937	 9.584183328	 0.047000558  FX
41	 2	 0.000174050	 8.421646082	 0.041808360  VM
43	 1	 0.000044106	 8.536084174	 0.040367551  VM
49	 4	 0.000158278	 9.484633328	 0.046512399  FX
50	 2	 0.000173910	 8.414883831	 0.041774790  VM
47	 5	 0.000309595	 9.281833328	 0.047866795  FX
51	 3	 0.000005182	 0.597880000	 0.002859184  FX
========================================================================
