<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
002_T7_C5_D18_VM3.txt	 1	 0.014675551612241	 0.071301	 0.000004	 0.536525
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
2	 5	 0.000000074	 0.003460614	 0.000407613  VM
1	 5	 0.000000137	 0.006445567	 0.000759200  VM
9	 5	 0.000000202	 0.009519108	 0.001121221  VM
10	 5	 0.000000294	 0.013816609	 0.001627407  VM
11	 5	 0.000000997	 0.046905288	 0.005524801  VM
12	 5	 0.000000945	 0.044447524	 0.005235310  VM
13	 1	 0.000001058	 0.411930000	 0.000000000  FX
========================================================================
002_T7_C5_D18_VM3.txt	 2	 0.013554330940292	 0.077493	 0.000005	 1.070976
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
2	 5	 0.000000074	 0.003460614	 0.000407613  VM
1	 5	 0.000000137	 0.006445567	 0.000759200  VM
9	 1	 0.000001333	 0.543970000	 0.000000000  FX
10	 5	 0.000000294	 0.013816609	 0.001627407  VM
12	 5	 0.000000945	 0.044447524	 0.005235310  VM
11	 5	 0.000000997	 0.046905288	 0.005524801  VM
13	 1	 0.000001058	 0.411930000	 0.000000000  FX
========================================================================
002_T7_C5_D18_VM3.txt	 3	 0.014675551612241	 0.071636	 0.000004	 0.536525
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
2	 5	 0.000000074	 0.003460614	 0.000407613  VM
1	 5	 0.000000137	 0.006445567	 0.000759200  VM
9	 5	 0.000000202	 0.009519108	 0.001121221  VM
10	 5	 0.000000294	 0.013816609	 0.001627407  VM
11	 5	 0.000000997	 0.046905288	 0.005524801  VM
12	 5	 0.000000945	 0.044447524	 0.005235310  VM
13	 1	 0.000001058	 0.411930000	 0.000000000  FX
========================================================================
002_T7_C5_D18_VM3.txt	 4	 0.014675551612241	 0.074943	 0.000004	 0.536525
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
2	 5	 0.000000074	 0.003460614	 0.000407613  VM
1	 5	 0.000000137	 0.006445567	 0.000759200  VM
9	 5	 0.000000202	 0.009519108	 0.001121221  VM
10	 5	 0.000000294	 0.013816609	 0.001627407  VM
11	 5	 0.000000997	 0.046905288	 0.005524801  VM
12	 5	 0.000000945	 0.044447524	 0.005235310  VM
13	 1	 0.000001058	 0.411930000	 0.000000000  FX
========================================================================
002_T7_C5_D18_VM3.txt	 5	 0.013048144172294	 0.076847	 0.000005	 1.308268
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
2	 5	 0.000000074	 0.003460614	 0.000407613  VM
1	 5	 0.000000137	 0.006445567	 0.000759200  VM
9	 5	 0.000000202	 0.009519108	 0.001121221  VM
10	 1	 0.000001837	 0.785560000	 0.000000000  FX
11	 5	 0.000000997	 0.046905288	 0.005524801  VM
12	 5	 0.000000945	 0.044447524	 0.005235310  VM
