
Max Financial Cost: 0.028016

Max Runtime:        1521.215331

                          GRASP-VND            Flexe

Custo Financeiro Melhor:  0.004179           0.010703

Tempo Melhor:             786.460860           801.066908

Custo Normalizado Melhor: 0.498603           0.519369

Custo Normalizado Médio:  0.498603           0.521969

Tempo CPU Médio:          363.037542 	  

===============================================GRASP-VND===================================================

<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
861           2            0.000002494        0.120686738                0.000079820             VM
1356           1            0.000000606        0.117233397                0.000074293             VM
1369           2            0.000002668        0.129107736                0.000085390             VM
828           2            0.000002404        0.116300070                0.000076919             VM
1390           2            0.000002504        0.121141652                0.000080121             VM
752           2            0.000002612        0.126381382                0.000083587             VM
1315           2            0.000002403        0.116279618                0.000076906             VM
854           2            0.000002680        0.129661709                0.000085756             VM
817           2            0.000002616        0.126597765                0.000083730             VM
1333           2            0.000002557        0.123745237                0.000081843             VM
814           1            0.000000586        0.113455598                0.000071899             VM
1628           1            0.000001025        0.198280676                0.000125655             VM
1341           2            0.000002767        0.133895465                0.000088556             VM
866           2            0.000002802        0.135567487                0.000089662             VM
1326           2            0.000002537        0.122780251                0.000081205             VM
1372           3            0.000009800        0.118544920                0.000091522             VM
816           2            0.000003588        0.173613646                0.000114825             VM
1303           2            0.000002651        0.128248406                0.000084822             VM
1320           2            0.000002753        0.133194799                0.000088093             VM
867           2            0.000002552        0.123483019                0.000081670             VM
804           2            0.000002607        0.126153486                0.000083436             VM
1335           2            0.000003072        0.148658114                0.000098320             VM
1516           1            0.000001318        0.255023828                0.000161614             VM
1387           2            0.000003217        0.155664572                0.000102954             VM
1370           2            0.000003904        0.188889783                0.000124929             VM
1439          5           0.000007349          0.214480000                0.000147059             FX
739           2            0.000002973        0.143832098                0.000095128             VM
1606           1            0.000001057        0.204589097                0.000129653             VM
1393           2            0.000002532        0.122536087                0.000081044             VM
1576           1            0.000001049        0.203026944                0.000128663             VM
1595           1            0.000000989        0.191496472                0.000121356             VM
864           2            0.000002409        0.116575939                0.000077102             VM
732           1            0.000001305        0.252565577                0.000160056             VM
1394          5           0.000007192          0.209760000                0.000143831             FX
811           2            0.000002721        0.131670364                0.000087085             VM
1593           1            0.000001122        0.217167269                0.000137624             VM
1620           1            0.000001004        0.194348976                0.000123163             VM
1322           2            0.000002590        0.125327275                0.000082890             VM
1534           1            0.000001259        0.243754723                0.000154473             VM
1375           2            0.000002978        0.144117830                0.000095317             VM
1329           2            0.000002241        0.108453427                0.000071729             VM
1310           2            0.000002333        0.112902632                0.000074672             VM
1588           1            0.000001040        0.201239140                0.000127530             VM
1312           2            0.000002676        0.129473752                0.000085632             VM
1521           1            0.000001246        0.241084298                0.000152780             VM
1594           1            0.000001058        0.204833915                0.000129808             VM
1570           1            0.000001381        0.267339480                0.000169419             VM
1321           2            0.000002511        0.121490564                0.000080352             VM
1504           1            0.000001177        0.227712321                0.000144306             VM
759           2            0.000002934        0.141966238                0.000093894             VM
1427          5           0.000008155          0.238660000                0.000163598             FX
1405          4           0.000004233          0.242000000                0.000158684             FX
1623           1            0.000001021        0.197517635                0.000125171             VM
1573           1            0.000001046        0.202368693                0.000128246             VM
1624           1            0.000001016        0.196596626                0.000124588             VM
878           2            0.000002508        0.121369731                0.000080272             VM
1607           1            0.000001305        0.252560670                0.000160053             VM
1503           1            0.000001298        0.251236207                0.000159214             VM
1640           1            0.000001062        0.205603858                0.000130296             VM
1429           1            0.000001513        0.292784346                0.000185544             VM
1591           1            0.000001036        0.200537847                0.000127085             VM
1392           2            0.000003044        0.147290460                0.000097416             VM
810           2            0.000003081        0.149054242                0.000098582             VM
1406          4           0.000004757          0.273420000                0.000179241             FX
1571           1            0.000001307        0.252941738                0.000160295             VM
1536           1            0.000001299        0.251477378                0.000159367             VM
1511           1            0.000001268        0.245394812                0.000155512             VM
860           2            0.000002519        0.121890017                0.000080616             VM
1542           1            0.000001413        0.273559805                0.000173361             VM
1513           1            0.000001326        0.256563405                0.000162590             VM
1422           1            0.000001559        0.301693524                0.000191190             VM
1419           1            0.000001452        0.281024393                0.000178091             VM
1302           2            0.000002501        0.121023437                0.000080043             VM
1557           1            0.000001338        0.258980668                0.000164122             VM
1527           1            0.000001249        0.241631326                0.000153127             VM
1523           1            0.000001336        0.258590415                0.000163874             VM
1630           1            0.000001023        0.197926072                0.000125430             VM
1530           1            0.000001388        0.268564573                0.000170195             VM
1423           1            0.000001539        0.297909970                0.000188792             VM
1522           1            0.000001672        0.323499106                0.000205009             VM
8983           1            0.000099094        19.178290714                0.012153707             VM
8963           1            0.000099431        19.243508941                0.012195038             VM
8971           1            0.000099432        19.243718068                0.012195170             VM
8967           1            0.000099394        19.236292274                0.012190464             VM
8968           1            0.000099382        19.234016780                0.012189022             VM
8952           1            0.000099719        19.299169977                0.012230311             VM
8987           1            0.000099084        19.176331990                0.012152466             VM
8982           1            0.000099073        19.174253564                0.012151149             VM
8956           1            0.000099747        19.304578661                0.012233739             VM
8954           1            0.000099779        19.310891587                0.012237740             VM
8976           1            0.000099130        19.185191240                0.012158080             VM
8957           1            0.000099793        19.313559409                0.012239430             VM
8965           1            0.000099437        19.244715609                0.012195802             VM
8981           1            0.000099077        19.174943707                0.012151586             VM
8970           1            0.000099373        19.232337939                0.012187958             VM
8988           1            0.000099110        19.181292387                0.012155610             VM
8985           1            0.000099123        19.183771016                0.012157180             VM
8969           1            0.000099447        19.246503010                0.012196935             VM
8973           1            0.000099402        19.237820191                0.012191433             VM
8980           1            0.000099102        19.179853905                0.012154698             VM
8979           1            0.000099142        19.187527244                0.012159561             VM
8972           1            0.000099408        19.239031449                0.012192200             VM
8974           1            0.000099411        19.239623335                0.012192575             VM
8978           1            0.000099180        19.194931519                0.012164253             VM
8959           1            0.000099404        19.238234620                0.012191695             VM
8955           1            0.000099742        19.303585178                0.012233109             VM
8989           1            0.000099102        19.179736739                0.012154624             VM
8975           1            0.000099095        19.178460255                0.012153815             VM
8951           1            0.000099743        19.303866367                0.012233288             VM
8962           1            0.000099414        19.240174332                0.012192924             VM
8960           1            0.000099413        19.239901363                0.012192752             VM
8950           1            0.000100645        19.478377750                0.012343879             VM
8984           1            0.000099090        19.177511269                0.012153214             VM
8964           1            0.000099430        19.243250909                0.012194874             VM
8977           1            0.000099151        19.189262234                0.012160660             VM
8961           1            0.000099434        19.244039902                0.012195374             VM
8966           1            0.000099454        19.247913556                0.012197829             VM
8958           1            0.000099418        19.240872201                0.012193367             VM
8986           1            0.000099077        19.174955084                0.012151594             VM
8953           1            0.000099920        19.338189180                0.012255039             VM
8990          3           0.000017886          2.122370000                0.001357343             FX


================================================Flexe======================================================

<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
864           2            0.000002409        0.116575939                0.000077102             VM
811           1            0.000000764        0.147842991                0.000093691             VM
1322           1            0.000000689        0.133367988                0.000084518             VM
1329           2            0.000002241        0.108453427                0.000071729             VM
1375           3            0.000010559        0.127725848                0.000098610             VM
1326           2            0.000002537        0.122780251                0.000081205             VM
1341           1            0.000000812        0.157166943                0.000099600             VM
1392           3            0.000010930        0.132206216                0.000102069             VM
1594           2            0.000004220        0.204168280                0.000135034             VM
1387          4           0.000003655          0.207320000                0.000135995             FX
854           2            0.000002680        0.129661709                0.000085756             VM
1312           2            0.000002676        0.129473752                0.000085632             VM
1333           1            0.000000726        0.140525012                0.000089054             VM
1320           3            0.000010497        0.126976537                0.000098032             VM
1624           1            0.000001016        0.196596626                0.000124588             VM
816           3            0.000012616        0.152604010                0.000117817             VM
1439           1            0.000001246        0.241187306                0.000152846             VM
1310           1            0.000000631        0.122182433                0.000077430             VM
1372          5           0.000007228          0.210830000                0.000144563             FX
867           3            0.000009745        0.117876497                0.000091006             VM
1303           1            0.000000754        0.145837822                0.000092421             VM
752           3            0.000009785        0.118363999                0.000091382             VM
860           4            0.000018257        0.110425191                0.000101543             VM
1335          3           0.000002179          0.237500000                0.000152208             FX
1623           3            0.000016246        0.196515140                0.000151718             VM
866           3            0.000010291        0.124475921                0.000096101             VM
1390          5           0.000007913          0.231380000                0.000158619             FX
1523           2            0.000005328        0.257817021                0.000170516             VM
1521           1            0.000001246        0.241084298                0.000152780             VM
1511           1            0.000001268        0.245394812                0.000155512             VM
1302           3            0.000009712        0.117482110                0.000090701             VM
878           3            0.000009400        0.113701464                0.000087783             VM
1356          4           0.000004219          0.241130000                0.000158115             FX
1393           1            0.000000676        0.130866746                0.000082933             VM
1370           4            0.000029913        0.180923650                0.000166372             VM
1513           1            0.000001326        0.256563405                0.000162590             VM
1576           3            0.000016704        0.202049168                0.000155991             VM
861           3            0.000009596        0.116067262                0.000089609             VM
810           1            0.000000902        0.174569615                0.000110629             VM
1315          4           0.000004155          0.237270000                0.000155590             FX
732           2            0.000005071        0.245385814                0.000162294             VM
1534           2            0.000005021        0.242935366                0.000160674             VM
1595           3            0.000015748        0.190486981                0.000147064             VM
804           3            0.000009516        0.115106854                0.000088868             VM
1394          2           0.000001247          0.251240000                0.000159125             FX
1630           1            0.000001023        0.197926072                0.000125430             VM
1593          3           0.000002469          0.272310000                0.000174465             FX
1369           3            0.000010135        0.122587813                0.000094643             VM
1640           3            0.000016918        0.204638257                0.000157990             VM
1527           2            0.000004978        0.240871080                0.000159308             VM
1530           1            0.000001388        0.268564573                0.000170195             VM
1591           3            0.000016485        0.199399371                0.000153945             VM
1406          5           0.000008983          0.263490000                0.000180582             FX
1427          5           0.000008155          0.238660000                0.000163598             FX
814           4            0.000017740        0.107300325                0.000098670             VM
1573          5           0.000009035          0.265040000                0.000181642             FX
817          4           0.000003736          0.212160000                0.000139162             FX
1606          4           0.000004837          0.278240000                0.000182394             FX
1542           2            0.000005636        0.272719818                0.000180373             VM
1570           2            0.000005510        0.266585714                0.000176316             VM
1503           1            0.000001298        0.251236207                0.000159214             VM
739          5           0.000008063          0.235880000                0.000161697             FX
1588          2           0.000001438          0.297160000                0.000188143             FX
759           4            0.000020798        0.125795749                0.000115678             VM
1620          5           0.000009029          0.264860000                0.000181519             FX
1557           1            0.000001338        0.258980668                0.000164122             VM
828           4            0.000018219        0.110196677                0.000101333             VM
1321           3            0.000009267        0.112089580                0.000086538             VM
1405          4           0.000004233          0.242000000                0.000158684             FX
1504          3           0.000002682          0.297800000                0.000190762             FX
1516           1            0.000001318        0.255023828                0.000161614             VM
1628           3            0.000016308        0.197259935                0.000152293             VM
1607           2            0.000005206        0.251884923                0.000166593             VM
1419           1            0.000001452        0.281024393                0.000178091             VM
1423          5           0.000010503          0.309080000                0.000211765             FX
1429           2            0.000006032        0.291871490                0.000193039             VM
1536          3           0.000002771          0.308520000                0.000197616             FX
1571           1            0.000001307        0.252941738                0.000160295             VM
1422           1            0.000001559        0.301693524                0.000191190             VM
1522          3           0.000003039          0.340660000                0.000218166             FX
8973           1            0.000099402        19.237820191                0.012191433             VM
8980           2            0.000394689        19.097567629                0.012630841             VM
8968           2            0.000395170        19.120799063                0.012646206             VM
8963          4           0.000350558          21.021453775                0.013753549             FX
8988          5           0.000674894          20.240773775                0.013844851             FX
8956          4           0.000354124          21.235393775                0.013893518             FX
8952           1            0.000099719        19.299169977                0.012230311             VM
8979          5           0.000674507          20.229173775                0.013836916             FX
8977           1            0.000099151        19.189262234                0.012160660             VM
8962           2            0.000395269        19.125611679                0.012649389             VM
8966          4           0.000352118          21.115013775                0.013814760             FX
8976          4           0.000347414          20.832773775                0.013630105             FX
8953           1            0.000099920        19.338189180                0.012255039             VM
8984           1            0.000099090        19.177511269                0.012153214             VM
8958           1            0.000099418        19.240872201                0.012193367             VM
8975           1            0.000099095        19.178460255                0.012153815             VM
8955           1            0.000099742        19.303585178                0.012233109             VM
8960           1            0.000099413        19.239901363                0.012192752             VM
8959           1            0.000099404        19.238234620                0.012191695             VM
8978          4           0.000348126          20.875493775                0.013658055             FX
8983           2            0.000394646        19.095450867                0.012629441             VM
8971           1            0.000099432        19.243718068                0.012195170             VM
8965           1            0.000099437        19.244715609                0.012195802             VM
8964           1            0.000099430        19.243250909                0.012194874             VM
8989           1            0.000099102        19.179736739                0.012154624             VM
8951           2            0.000395991        19.160557499                0.012672501             VM
8954           2            0.000396007        19.161318130                0.012673004             VM
8961           1            0.000099434        19.244039902                0.012195374             VM
8982           2            0.000394572        19.091862759                0.012627068             VM
8967          4           0.000352818          21.157023775                0.013842245             FX
8985           2            0.000394672        19.096737958                0.012630292             VM
8950           2            0.000398420        19.278058225                0.012750214             VM
8969           2            0.000395370        19.130489792                0.012652615             VM
8974           2            0.000395257        19.125019495                0.012648997             VM
8981           1            0.000099077        19.174943707                0.012151586             VM
8987          4           0.000346872          20.800283775                0.013608849             FX
8970           1            0.000099373        19.232337939                0.012187958             VM
8972           1            0.000099408        19.239031449                0.012192200             VM
8986           1            0.000099077        19.174955084                0.012151594             VM
8957           1            0.000099793        19.313559409                0.012239430             VM
8990          4           0.000036804          2.196210000                0.001437217             FX


============================================================================================================
