<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
040_T121_C5_D340_VM3.txt	 1	 0.475256026413757	 2038.368066	 0.006064	 1129.033602
<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
10           2            0.000002557        0.123718189                0.000054410             VM
732           2            0.000002778        0.134439003                0.000059125             VM
36           2            0.000002993        0.144838714                0.000063698             VM
739           2            0.000003377        0.163400982                0.000071862             VM
25           2            0.000002782        0.134598668                0.000059195             VM
754           2            0.000004254        0.205811294                0.000090513             VM
756           1            0.000000626        0.121200422                0.000050988             VM
733           2            0.000002919        0.141236332                0.000062114             VM
38           2            0.000003147        0.152261009                0.000066962             VM
27           2            0.000002974        0.143913170                0.000063291             VM
39           2            0.000002925        0.141544629                0.000062249             VM
2           2            0.000002820        0.136467162                0.000060016             VM
759           2            0.000002813        0.136092745                0.000059852             VM
1           1            0.000001316        0.254736455                0.000107165             VM
820          5           0.000008059          0.235770000                0.000107614             FX
758           2            0.000002888        0.139744570                0.000061458             VM
803          4           0.000004162          0.237730000                0.000103625             FX
33           2            0.000002547        0.123261425                0.000054209             VM
757           2            0.000002622        0.126866370                0.000055794             VM
24           2            0.000003108        0.150408507                0.000066148             VM
731           2            0.000002945        0.142504772                0.000062672             VM
760           2            0.000003212        0.155424143                0.000068353             VM
868           1            0.000001515        0.293198193                0.000123345             VM
23           2            0.000002976        0.144018932                0.000063338             VM
860           1            0.000001668        0.322877223                0.000135831             VM
806          5           0.000009039          0.265170000                0.000121003             FX
740           2            0.000003034        0.146801058                0.000064561             VM
736           2            0.000002986        0.144475675                0.000063539             VM
29           2            0.000002827        0.136798495                0.000060162             VM
735           2            0.000002818        0.136367955                0.000059973             VM
28           2            0.000003170        0.153398474                0.000067463             VM
852           1            0.000001736        0.335898874                0.000141309             VM
40           2            0.000002736        0.132394150                0.000058225             VM
734           2            0.000003074        0.148730491                0.000065410             VM
871           1            0.000001731        0.334940226                0.000140906             VM
30           2            0.000002771        0.134064612                0.000058960             VM
753           2            0.000003215        0.155543939                0.000068406             VM
9           2            0.000002864        0.138561848                0.000060938             VM
855           1            0.000001651        0.319481127                0.000134402             VM
802          5           0.000007642          0.223270000                0.000101922             FX
737           2            0.000002978        0.144078042                0.000063364             VM
807          5           0.000009107          0.267220000                0.000121937             FX
805          4           0.000004930          0.283820000                0.000123668             FX
34           2            0.000002751        0.133134292                0.000058551             VM
814          5           0.000009391          0.275720000                0.000125807             FX
815          5           0.000009742          0.286260000                0.000130607             FX
26           2            0.000003144        0.152127420                0.000066904             VM
867           1            0.000001549        0.299701616                0.000126081             VM
755           2            0.000002885        0.139598625                0.000061394             VM
