<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
050_T151_C5_D355_VM3.txt	 1	 0.185921461690373	 6.339998	 0.007204	 1849.370487
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
753	 1	 0.000000610	 0.118095203	 0.000014969  VM
803	 1	 0.000000765	 0.148040058	 0.000018765  VM
33	 1	 0.000001903	 0.817590000	 0.000055765  FX
865	 2	 0.000001823	 0.389530000	 0.000045463  FX
1362	 3	 0.000002116	 0.229960000	 0.000048288  FX
858	 1	 0.000000926	 0.179191035	 0.000022713  VM
821	 1	 0.000000711	 0.137578624	 0.000017439  VM
817	 2	 0.000002471	 0.119576549	 0.000053378  VM
1333	 2	 0.000002142	 0.466190000	 0.000053599  FX
1	 1	 0.000002094	 0.909140000	 0.000061548  FX
1520	 1	 0.000001446	 0.598210000	 0.000041909  FX
871	 1	 0.000001635	 0.688800000	 0.000047630  FX
1339	 2	 0.000002752	 0.133178110	 0.000059450  VM
1314	 1	 0.000000709	 0.137237888	 0.000017395  VM
1347	 1	 0.000000731	 0.141429742	 0.000017927  VM
1304	 2	 0.000001875	 0.402070000	 0.000046794  FX
1358	 3	 0.000002298	 0.251790000	 0.000052481  FX
815	 1	 0.000000624	 0.120844981	 0.000015318  VM
1531	 1	 0.000001431	 0.590680000	 0.000041433  FX
1338	 1	 0.000000750	 0.145152091	 0.000018399  VM
1505	 1	 0.000001455	 0.602400000	 0.000042173  FX
733	 3	 0.000002325	 0.255010000	 0.000053099  FX
1343	 2	 0.000002324	 0.112463661	 0.000050203  VM
1544	 3	 0.000002779	 0.309460000	 0.000063556  FX
1342	 2	 0.000002782	 0.134609679	 0.000060089  VM
1425	 2	 0.000001875	 0.402020000	 0.000046789  FX
1317	 1	 0.000000789	 0.152717127	 0.000019357  VM
1303	 3	 0.000002233	 0.243930000	 0.000050971  FX
1434	 1	 0.000001710	 0.330907579	 0.000041944  VM
1499	 2	 0.000002199	 0.479740000	 0.000055037  FX
1360	 2	 0.000002875	 0.139103193	 0.000062095  VM
1305	 3	 0.000002516	 0.277880000	 0.000057491  FX
1543	 1	 0.000001412	 0.273322713	 0.000034645  VM
2	 1	 0.000000733	 0.141926584	 0.000017990  VM
9	 1	 0.000001936	 0.833210000	 0.000056752  FX
1621	 1	 0.000001282	 0.519220000	 0.000036919  FX
1554	 1	 0.000001718	 0.728470000	 0.000050136  FX
1583	 3	 0.000002546	 0.281510000	 0.000058188  FX
1382	 2	 0.000002620	 0.580860000	 0.000065768  FX
1610	 2	 0.000001581	 0.331480000	 0.000039303  FX
1599	 1	 0.000001175	 0.467930000	 0.000033680  FX
10	 1	 0.000002217	 0.968290000	 0.000065284  FX
1293	 2	 0.000002556	 0.123694361	 0.000055217  VM
1622	 3	 0.000002541	 0.280910000	 0.000058073  FX
1371	 1	 0.000001742	 0.740000000	 0.000050864  FX
36	 1	 0.000000781	 0.151207266	 0.000019166  VM
1365	 3	 0.000002184	 0.238030000	 0.000049838  FX
1548	 3	 0.000002757	 0.306870000	 0.000063059  FX
1577	 1	 0.000001271	 0.513910000	 0.000036584  FX
1421	 1	 0.000001741	 0.337004330	 0.000042717  VM
852	 2	 0.000002743	 0.132704824	 0.000059239  VM
1504	 2	 0.000001764	 0.375390000	 0.000043963  FX
1518	 1	 0.000001422	 0.275282654	 0.000034893  VM
1624	 2	 0.000001481	 0.307350000	 0.000036742  FX
1319	 2	 0.000001669	 0.352520000	 0.000041536  FX
1634	 1	 0.000001180	 0.228362294	 0.000028946  VM
1409	 2	 0.000001819	 0.388500000	 0.000045354  FX
1313	 1	 0.000002208	 0.963700000	 0.000064994  FX
872	 2	 0.000003030	 0.146628582	 0.000065454  VM
867	 1	 0.000000749	 0.145004905	 0.000018380  VM
1353	 2	 0.000003035	 0.146868207	 0.000065561  VM
1322	 2	 0.000001766	 0.375790000	 0.000044005  FX
1572	 2	 0.000001789	 0.381280000	 0.000044588  FX
1398	 2	 0.000001576	 0.330250000	 0.000039172  FX
1523	 3	 0.000003026	 0.339150000	 0.000069258  FX
1559	 2	 0.000001796	 0.383040000	 0.000044774  FX
1566	 1	 0.000001497	 0.289650011	 0.000036714  VM
853	 1	 0.000000803	 0.155425264	 0.000019701  VM
1356	 3	 0.000003003	 0.336410000	 0.000068732  FX
1376	 1	 0.000000817	 0.158202286	 0.000020053  VM
1616	 2	 0.000001707	 0.361710000	 0.000042511  FX
1557	 1	 0.000001409	 0.580280000	 0.000040776  FX
1551	 1	 0.000001497	 0.289684475	 0.000036719  VM
26	 2	 0.000002647	 0.587390000	 0.000066461  FX
1635	 2	 0.000001787	 0.380760000	 0.000044533  FX
