<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
050_T151_C5_D411_VM3.txt	 1	 0.448384504039462	 1754.516287	 0.008887	 1665.375029
<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
736           2            0.000002856        0.138204154                0.000039033             VM
733           2            0.000003409        0.164926552                0.000046581             VM
802           2            0.000002979        0.144126130                0.000040706             VM
37           2            0.000002607        0.126130355                0.000035623             VM
28           2            0.000002992        0.144765459                0.000040886             VM
807           2            0.000003121        0.150994729                0.000042646             VM
740           2            0.000003191        0.154386534                0.000043604             VM
731           2            0.000002612        0.126402681                0.000035700             VM
30           2            0.000002817        0.136289584                0.000038493             VM
27           2            0.000002692        0.130232001                0.000036782             VM
739           2            0.000002979        0.144144376                0.000040711             VM
25           2            0.000002764        0.133726363                0.000037769             VM
877           1            0.000001406        0.272078917                0.000073215             VM
1           1            0.000001315        0.254494034                0.000068483             VM
758           2            0.000002970        0.143696288                0.000040584             VM
808           2            0.000003735        0.180720619                0.000051041             VM
735           2            0.000002863        0.138547034                0.000039130             VM
734           2            0.000002863        0.138518545                0.000039122             VM
806           2            0.000002663        0.128845691                0.000036390             VM
34           2            0.000002728        0.131986641                0.000037277             VM
804           2            0.000002846        0.137706400                0.000038893             VM
26           2            0.000002979        0.144146927                0.000040712             VM
803           2            0.000002992        0.144785643                0.000040892             VM
760           2            0.000003187        0.154215208                0.000043555             VM
810           2            0.000002936        0.142067340                0.000040124             VM
756           1            0.000000665        0.128647776                0.000034618             VM
805           1            0.000000650        0.125742762                0.000033837             VM
29           2            0.000002653        0.128371966                0.000036256             VM
24           2            0.000002950        0.142741035                0.000040315             VM
819          5           0.000008015          0.234450000                0.000068944             FX
738           2            0.000003078        0.148931861                0.000042063             VM
10           2            0.000002619        0.126706731                0.000035786             VM
732           2            0.000002938        0.142171959                0.000040154             VM
2           2            0.000002969        0.143658258                0.000040574             VM
752           2            0.000003298        0.159558117                0.000045064             VM
880           1            0.000001445        0.279629430                0.000075246             VM
38           2            0.000003073        0.148678826                0.000041992             VM
878           1            0.000001432        0.277103253                0.000074567             VM
817          4           0.000003582          0.202930000                0.000056787             FX
860           1            0.000001654        0.320203565                0.000086165             VM
818          4           0.000004040          0.230380000                0.000064446             FX
812          5           0.000008321          0.243640000                0.000071639             FX
867           1            0.000001638        0.316936178                0.000085285             VM
856           1            0.000001727        0.334180072                0.000089926             VM
855           1            0.000001661        0.321470452                0.000086506             VM
35           2            0.000003337        0.161476330                0.000045606             VM
751           2            0.000002989        0.144621390                0.000040846             VM
822          5           0.000008158          0.238740000                0.000070202             FX
861           1            0.000001669        0.322916567                0.000086895             VM
753           2            0.000003057        0.147897761                0.000041771             VM
874           1            0.000001468        0.284156271                0.000076465             VM
820          5           0.000008201          0.240030000                0.000070580             FX
759           2            0.000002785        0.134758690                0.000038060             VM
757           2            0.000002524        0.122129865                0.000034493             VM
853           1            0.000001726        0.334139726                0.000089915             VM
40           2            0.000002649        0.128197918                0.000036207             VM
876           1            0.000001438        0.278222224                0.000074868             VM
826          4           0.000004453          0.255150000                0.000071356             FX
9           2            0.000003042        0.147180684                0.000041569             VM
36           2            0.000003175        0.153611433                0.000043385             VM
