
Max Financial Cost: 0.048867

Max Runtime:        3033.948240

                          GRASP-VND            Flexe

Custo Financeiro Melhor:  0.007199           0.009749

Tempo Melhor:             1390.449133           1672.627476

Custo Normalizado Melhor: 0.302804           0.375405

Custo Normalizado Médio:  0.302804           0.385996

Tempo CPU Médio:          1139.633286 	  

===============================================GRASP-VND===================================================

<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
39           1            0.000000788        0.152451547                0.000033184             VM
737           1            0.000000902        0.174558523                0.000037996             VM
760           1            0.000000865        0.167472989                0.000036454             VM
9           1            0.000000837        0.161969976                0.000035256             VM
756           1            0.000000712        0.137848131                0.000030005             VM
805           1            0.000000739        0.143030813                0.000031134             VM
871           1            0.000001621        0.313771490                0.000068299             VM
751           1            0.000000912        0.176515253                0.000038422             VM
38           1            0.000000914        0.176820385                0.000038489             VM
10           1            0.000000792        0.153328757                0.000033375             VM
28           1            0.000000905        0.175069704                0.000038107             VM
739           1            0.000000961        0.185995091                0.000040486             VM
824           1            0.000001617        0.313035745                0.000068139             VM
804           1            0.000000757        0.146443245                0.000031876             VM
802           1            0.000000896        0.173409193                0.000037746             VM
24           1            0.000000987        0.191093807                0.000041595             VM
816          3           0.000002860          0.319160000                0.000081858             FX
806           1            0.000000787        0.152229356                0.000033136             VM
738           1            0.000001037        0.200755480                0.000043698             VM
25           1            0.000000772        0.149484268                0.000032538             VM
874           1            0.000001361        0.263460402                0.000057347             VM
734           1            0.000000829        0.160537583                0.000034944             VM
825          2           0.000001335          0.272330000                0.000058537             FX
872           1            0.000001977        0.382617160                0.000083284             VM
758           1            0.000000836        0.161828576                0.000035225             VM
1           1            0.000001273        0.246441483                0.000053643             VM
35           1            0.000001100        0.212831238                0.000046327             VM
740           1            0.000001011        0.195640242                0.000042585             VM
757           1            0.000000716        0.138621415                0.000030174             VM
732           1            0.000000752        0.145534046                0.000031678             VM
37           1            0.000000754        0.145895044                0.000031757             VM
754           1            0.000001202        0.232573772                0.000050624             VM
733           1            0.000000827        0.159963732                0.000034819             VM
755           1            0.000000879        0.170036267                0.000037012             VM
861           1            0.000001694        0.327864869                0.000071366             VM
810           1            0.000001969        0.380995072                0.000082931             VM
731           1            0.000000819        0.158557648                0.000034513             VM
34           1            0.000000765        0.148138926                0.000032245             VM
875           1            0.000001479        0.286243450                0.000062307             VM
803           1            0.000000834        0.161440517                0.000035141             VM
873           1            0.000001456        0.281774761                0.000061334             VM
852           1            0.000001695        0.327960683                0.000071387             VM
813           1            0.000002467        0.477519546                0.000103942             VM
759           1            0.000000937        0.181303606                0.000039464             VM
820           1            0.000001895        0.366735128                0.000079827             VM
40           1            0.000000817        0.158212471                0.000034438             VM
736           1            0.000000920        0.177962236                0.000038737             VM
26           1            0.000000870        0.168444876                0.000036665             VM
876           1            0.000001440        0.278704083                0.000060666             VM
868           1            0.000001653        0.319868204                0.000069626             VM
854           1            0.000001653        0.319946969                0.000069643             VM
36           1            0.000000864        0.167162179                0.000036386             VM
866           1            0.000001623        0.314180058                0.000068388             VM
752           1            0.000001011        0.195660760                0.000042589             VM
33           1            0.000000724        0.140076481                0.000030490             VM
857           1            0.000002009        0.388879916                0.000084648             VM
23           1            0.000000866        0.167695576                0.000036502             VM
29           1            0.000000835        0.161631627                0.000035182             VM
817          2           0.000001272          0.257320000                0.000055424             FX
870           1            0.000001634        0.316281537                0.000068845             VM
